model;recall;precision;specificity;F1;F2
gbm              ;0                ;0                ;0.937007874015748;0                ;NaN              
gbm              ;0.333333333333333;0.125            ;0.944            ;0.181818181818182;0.181818181818182
gbm              ;NaN              ;0                ;0.9375           ;0                ;NaN              
glm              ;0.5              ;0.25             ;0.951612903225806;0.333333333333333;0.333333333333333
glm              ;0.125            ;0.25             ;0.946428571428571;0.166666666666667;0.166666666666667
glm              ;0.125            ;0.25             ;0.946428571428571;0.166666666666667;0.166666666666667
nnet             ;0                ;0                ;0.936507936507937;0                ;NaN              
nnet             ;0.125            ;0.125            ;0.941666666666667;0.125            ;0.125            
nnet             ;0                ;0                ;0.935483870967742;0                ;NaN              
treebag          ;0                ;0                ;0.935483870967742;0                ;NaN              
treebag          ;0                ;0                ;0.934426229508197;0                ;NaN              
treebag          ;0                ;0                ;0.934426229508197;0                ;NaN              
fda              ;0.6              ;0.375            ;0.959349593495935;0.461538461538462;0.461538461538462
fda              ;0                ;0                ;0.936            ;0                ;NaN              
fda              ;0.125            ;0.125            ;0.941666666666667;0.125            ;0.125            
bagFDAGCV        ;0                ;0                ;0.937007874015748;0                ;NaN              
bagFDAGCV        ;0                ;0                ;0.937007874015748;0                ;NaN              
bagFDAGCV        ;0                ;0                ;0.937007874015748;0                ;NaN              
bagFDA           ;0                ;0                ;0.936            ;0                ;NaN              
bagFDA           ;0                ;0                ;0.937007874015748;0                ;NaN              
bagFDA           ;NaN              ;0                ;0.9375           ;0                ;NaN              
