model;recall;precision;specificity;F1;F2
gbm              ;0.5              ;0.208333333333333;0.876623376623377;0.294117647058824;0.294117647058824
gbm              ;0.769230769230769;0.416666666666667;0.907284768211921;0.540540540540541;0.540540540540541
gbm              ;0.416666666666667;0.208333333333333;0.875            ;0.277777777777778;0.277777777777778
glm              ;0.611111111111111;0.458333333333333;0.910958904109589;0.523809523809524;0.523809523809524
glm              ;0.444444444444444;0.333333333333333;0.89041095890411 ;0.380952380952381;0.380952380952381
glm              ;0.428571428571429;0.25             ;0.88             ;0.315789473684211;0.315789473684211
nnet             ;0.35             ;0.291666666666667;0.881944444444444;0.318181818181818;0.318181818181818
nnet             ;0.5              ;0.375            ;0.897260273972603;0.428571428571429;0.428571428571429
nnet             ;0.357142857142857;0.416666666666667;0.897058823529412;0.384615384615385;0.384615384615385
treebag          ;0.777777777777778;0.291666666666667;0.890322580645161;0.424242424242424;0.424242424242424
treebag          ;0.55             ;0.458333333333333;0.909722222222222;0.5              ;0.5              
treebag          ;0.444444444444444;0.166666666666667;0.870967741935484;0.242424242424242;0.242424242424242
fda              ;0.416666666666667;0.416666666666667;0.9              ;0.416666666666667;0.416666666666667
fda              ;0.538461538461538;0.291666666666667;0.887417218543046;0.378378378378378;0.378378378378378
fda              ;0.6              ;0.25             ;0.883116883116883;0.352941176470588;0.352941176470588
bagFDAGCV        ;0.545454545454545;0.25             ;0.882352941176471;0.342857142857143;0.342857142857143
bagFDAGCV        ;0.769230769230769;0.416666666666667;0.907284768211921;0.540540540540541;0.540540540540541
bagFDAGCV        ;0.625            ;0.416666666666667;0.905405405405405;0.5              ;0.5              
bagFDA           ;0.5              ;0.333333333333333;0.891891891891892;0.4              ;0.4              
bagFDA           ;0.714285714285714;0.208333333333333;0.878980891719745;0.32258064516129 ;0.32258064516129 
bagFDA           ;0.777777777777778;0.291666666666667;0.890322580645161;0.424242424242424;0.424242424242424
