model;recall;precision;specificity;F1;F2
gbm              ;0.782608695652174;0.339622641509434;0.859437751004016;0.473684210526316;0.473684210526316
gbm              ;0.571428571428571;0.377358490566038;0.860759493670886;0.454545454545455;0.454545454545455
gbm              ;0.578947368421053;0.415094339622642;0.867521367521368;0.483516483516484;0.483516483516484
glm              ;0.560975609756098;0.433962264150943;0.87012987012987 ;0.48936170212766 ;0.48936170212766 
glm              ;0.647058823529412;0.415094339622642;0.869747899159664;0.505747126436782;0.505747126436782
glm              ;0.586206896551724;0.320754716981132;0.851851851851852;0.414634146341463;0.414634146341463
nnet             ;0.421686746987952;0.660377358490566;0.904761904761905;0.514705882352941;0.514705882352941
nnet             ;0.526315789473684;0.566037735849057;0.893023255813953;0.545454545454545;0.545454545454546
nnet             ;NaN              ;0                ;0.805147058823529;0                ;NaN              
treebag          ;0.634146341463415;0.490566037735849;0.883116883116883;0.553191489361702;0.553191489361702
treebag          ;0.513513513513513;0.358490566037736;0.85531914893617 ;0.422222222222222;0.422222222222222
treebag          ;0.387096774193548;0.226415094339623;0.829875518672199;0.285714285714286;0.285714285714286
fda              ;0.696969696969697;0.433962264150943;0.874476987447699;0.534883720930233;0.534883720930233
fda              ;0.659090909090909;0.547169811320755;0.894736842105263;0.597938144329897;0.597938144329897
fda              ;0.41304347826087 ;0.358490566037736;0.849557522123894;0.383838383838384;0.383838383838384
bagFDAGCV        ;0.613636363636364;0.509433962264151;0.885964912280702;0.556701030927835;0.556701030927835
bagFDAGCV        ;0.607142857142857;0.320754716981132;0.852459016393443;0.419753086419753;0.419753086419753
bagFDAGCV        ;0.638888888888889;0.433962264150943;0.872881355932203;0.51685393258427 ;0.51685393258427 
bagFDA           ;0.472222222222222;0.320754716981132;0.847457627118644;0.382022471910112;0.382022471910112
bagFDA           ;0.657142857142857;0.433962264150943;0.873417721518987;0.522727272727273;0.522727272727273
bagFDA           ;0.590909090909091;0.490566037735849;0.881578947368421;0.536082474226804;0.536082474226804
