model;recall;precision;specificity;F1;F2
gbm              ;1                ;0.2              ;0.960199004975124;0.333333333333333;0.333333333333333
gbm              ;0.25             ;0.1              ;0.954773869346734;0.142857142857143;0.142857142857143
gbm              ;1                ;0.1              ;0.955445544554455;0.181818181818182;0.181818181818182
glm              ;0.25             ;0.1              ;0.954773869346734;0.142857142857143;0.142857142857143
glm              ;0                ;0                ;0.94949494949495 ;0                ;NaN              
glm              ;0.166666666666667;0.1              ;0.954314720812183;0.125            ;0.125            
nnet             ;0.166666666666667;0.2              ;0.958115183246073;0.181818181818182;0.181818181818182
nnet             ;0.166666666666667;0.1              ;0.954314720812183;0.125            ;0.125            
nnet             ;NaN              ;0                ;0.950738916256158;0                ;NaN              
treebag          ;0.5              ;0.1              ;0.955223880597015;0.166666666666667;0.166666666666667
treebag          ;0                ;0                ;0.950248756218905;0                ;NaN              
treebag          ;0                ;0                ;0.950248756218905;0                ;NaN              
fda              ;0.222222222222222;0.2              ;0.958762886597938;0.210526315789474;0.210526315789474
fda              ;NaN              ;0                ;0.950738916256158;0                ;NaN              
fda              ;0.2              ;0.1              ;0.954545454545455;0.133333333333333;0.133333333333333
bagFDAGCV        ;0                ;0                ;0.949748743718593;0                ;NaN              
bagFDAGCV        ;0.2              ;0.1              ;0.954545454545455;0.133333333333333;0.133333333333333
bagFDAGCV        ;0                ;0                ;0.949238578680203;0                ;NaN              
bagFDA           ;0.333333333333333;0.1              ;0.955            ;0.153846153846154;0.153846153846154
bagFDA           ;1                ;0.1              ;0.955445544554455;0.181818181818182;0.181818181818182
bagFDA           ;NaN              ;0                ;0.950738916256158;0                ;NaN              
