model;recall;precision;specificity;F1;F2
gbm              ;0.4375           ;0.259259259259259;0.764705882352941;0.325581395348837;0.325581395348837
gbm              ;0.636363636363636;0.259259259259259;0.777777777777778;0.368421052631579;0.368421052631579
gbm              ;0.727272727272727;0.296296296296296;0.788888888888889;0.421052631578947;0.421052631578947
glm              ;0.423076923076923;0.407407407407407;0.786666666666667;0.415094339622642;0.415094339622641
glm              ;0.35             ;0.259259259259259;0.753086419753086;0.297872340425532;0.297872340425532
glm              ;0.545454545454545;0.444444444444444;0.810126582278481;0.489795918367347;0.489795918367347
nnet             ;0.545454545454545;0.444444444444444;0.810126582278481;0.489795918367347;0.489795918367347
nnet             ;0.523809523809524;0.407407407407407;0.8              ;0.458333333333333;0.458333333333333
nnet             ;0.473684210526316;0.333333333333333;0.780487804878049;0.391304347826087;0.391304347826087
treebag          ;0.5              ;0.259259259259259;0.770114942528736;0.341463414634146;0.341463414634146
treebag          ;0.6875           ;0.407407407407407;0.811764705882353;0.511627906976744;0.511627906976744
treebag          ;0.5              ;0.259259259259259;0.770114942528736;0.341463414634146;0.341463414634146
fda              ;0.545454545454545;0.222222222222222;0.766666666666667;0.315789473684211;0.315789473684211
fda              ;0.5              ;0.185185185185185;0.758241758241758;0.27027027027027 ;0.27027027027027 
fda              ;0.4375           ;0.259259259259259;0.764705882352941;0.325581395348837;0.325581395348837
bagFDAGCV        ;0.533333333333333;0.296296296296296;0.779069767441861;0.380952380952381;0.380952380952381
bagFDAGCV        ;0.388888888888889;0.259259259259259;0.759036144578313;0.311111111111111;0.311111111111111
bagFDAGCV        ;0.333333333333333;0.259259259259259;0.75             ;0.291666666666667;0.291666666666667
bagFDA           ;0.5              ;0.185185185185185;0.758241758241758;0.27027027027027 ;0.27027027027027 
bagFDA           ;0.421052631578947;0.296296296296296;0.768292682926829;0.347826086956522;0.347826086956522
bagFDA           ;0.285714285714286;0.148148148148148;0.735632183908046;0.195121951219512;0.195121951219512
