model;recall;precision;specificity;F1;F2
gbm              ;NaN              ;0                ;0.914285714285714;0                ;NaN              
gbm              ;0                ;0                ;0.91304347826087 ;0                ;NaN              
gbm              ;0.666666666666667;0.333333333333333;0.940298507462687;0.444444444444444;0.444444444444444
glm              ;0.444444444444444;0.666666666666667;0.967213114754098;0.533333333333333;0.533333333333333
glm              ;0.2              ;0.166666666666667;0.923076923076923;0.181818181818182;0.181818181818182
glm              ;0.285714285714286;0.333333333333333;0.936507936507937;0.307692307692308;0.307692307692308
nnet             ;0.5              ;0.166666666666667;0.926470588235294;0.25             ;0.25             
nnet             ;0.2              ;0.166666666666667;0.923076923076923;0.181818181818182;0.181818181818182
nnet             ;0.285714285714286;0.666666666666667;0.964285714285714;0.4              ;0.4              
treebag          ;1                ;0.166666666666667;0.927536231884058;0.285714285714286;0.285714285714286
treebag          ;0.5              ;0.5              ;0.953125         ;0.5              ;0.5              
treebag          ;0.5              ;0.166666666666667;0.926470588235294;0.25             ;0.25             
fda              ;0.75             ;0.5              ;0.954545454545455;0.6              ;0.6              
fda              ;1                ;0.5              ;0.955223880597015;0.666666666666667;0.666666666666667
fda              ;0.571428571428571;0.666666666666667;0.968253968253968;0.615384615384615;0.615384615384615
bagFDAGCV        ;1                ;0.333333333333333;0.941176470588235;0.5              ;0.5              
bagFDAGCV        ;0.5              ;0.666666666666667;0.967741935483871;0.571428571428571;0.571428571428572
bagFDAGCV        ;0.5              ;0.166666666666667;0.926470588235294;0.25             ;0.25             
bagFDA           ;0.285714285714286;0.333333333333333;0.936507936507937;0.307692307692308;0.307692307692308
bagFDA           ;0                ;0                ;0.91304347826087 ;0                ;NaN              
bagFDA           ;0.333333333333333;0.333333333333333;0.9375           ;0.333333333333333;0.333333333333333
