model;recall;precision;specificity;F1;F2
gbm               ;0.5               ;0.222222222222222 ;0.9375            ;0.307692307692308 ;0.307692307692308 
gbm               ;0.4               ;0.222222222222222 ;0.936936936936937 ;0.285714285714286 ;0.285714285714286 
gbm               ;0                 ;0                 ;0.919642857142857 ;0                 ;NaN               
glm               ;0.25              ;0.111111111111111 ;0.928571428571429 ;0.153846153846154 ;0.153846153846154 
glm               ;0.142857142857143 ;0.333333333333333 ;0.936842105263158 ;0.2               ;0.2               
glm               ;0.0689655172413793;0.666666666666667 ;0.896551724137931 ;0.125             ;0.125             
nnet              ;0.5               ;0.333333333333333 ;0.945454545454545 ;0.4               ;0.4               
nnet              ;NaN               ;0                 ;0.922413793103448 ;0                 ;NaN               
nnet              ;0.357142857142857 ;0.555555555555556 ;0.96078431372549  ;0.434782608695652 ;0.434782608695652 
treebag           ;0.4               ;0.222222222222222 ;0.936936936936937 ;0.285714285714286 ;0.285714285714286 
treebag           ;0                 ;0                 ;0.921052631578947 ;0                 ;NaN               
treebag           ;0.666666666666667 ;0.444444444444444 ;0.954545454545455 ;0.533333333333333 ;0.533333333333333 
fda               ;0.285714285714286 ;0.222222222222222 ;0.935779816513762 ;0.25              ;0.25              
fda               ;0.363636363636364 ;0.444444444444444 ;0.952380952380952 ;0.4               ;0.4               
fda               ;0.2               ;0.111111111111111 ;0.927927927927928 ;0.142857142857143 ;0.142857142857143 
bagFDAGCV         ;0                 ;0                 ;0.921739130434783 ;0                 ;NaN               
bagFDAGCV         ;0.666666666666667 ;0.222222222222222 ;0.938053097345133 ;0.333333333333333 ;0.333333333333333 
bagFDAGCV         ;0.3               ;0.333333333333333 ;0.943396226415094 ;0.315789473684211 ;0.315789473684211 
bagFDA            ;0.5               ;0.333333333333333 ;0.945454545454545 ;0.4               ;0.4               
bagFDA            ;0                 ;0                 ;0.921052631578947 ;0                 ;NaN               
bagFDA            ;0.5               ;0.111111111111111 ;0.929824561403509 ;0.181818181818182 ;0.181818181818182 
