model;recall;precision;specificity;F1;F2
gbm              ;0.583333333333333;0.28             ;0.76             ;0.378378378378378;0.378378378378378
gbm              ;0.481481481481481;0.52             ;0.8              ;0.5              ;0.5              
gbm              ;0.666666666666667;0.32             ;0.773333333333333;0.432432432432432;0.432432432432432
glm              ;0.297297297297297;0.44             ;0.72             ;0.354838709677419;0.354838709677419
glm              ;0.244444444444444;0.44             ;0.666666666666667;0.314285714285714;0.314285714285714
glm              ;0.448275862068966;0.52             ;0.793103448275862;0.481481481481481;0.481481481481481
nnet             ;0.37037037037037 ;0.4              ;0.75             ;0.384615384615385;0.384615384615385
nnet             ;0.481481481481481;0.52             ;0.8              ;0.5              ;0.5              
nnet             ;0.357142857142857;0.4              ;0.745762711864407;0.377358490566038;0.377358490566038
treebag          ;0.363636363636364;0.32             ;0.738461538461539;0.340425531914894;0.340425531914894
treebag          ;0.666666666666667;0.48             ;0.811594202898551;0.558139534883721;0.558139534883721
treebag          ;0.7              ;0.56             ;0.835820895522388;0.622222222222222;0.622222222222222
fda              ;0.5              ;0.2              ;0.74025974025974 ;0.285714285714286;0.285714285714286
fda              ;0.5              ;0.44             ;0.784615384615385;0.468085106382979;0.468085106382979
fda              ;0.5              ;0.2              ;0.74025974025974 ;0.285714285714286;0.285714285714286
bagFDAGCV        ;0.692307692307692;0.36             ;0.783783783783784;0.473684210526316;0.473684210526316
bagFDAGCV        ;0.6              ;0.36             ;0.777777777777778;0.45             ;0.45             
bagFDAGCV        ;0.769230769230769;0.4              ;0.797297297297297;0.526315789473684;0.526315789473684
bagFDA           ;0.75             ;0.36             ;0.786666666666667;0.486486486486487;0.486486486486487
bagFDA           ;0.857142857142857;0.48             ;0.821917808219178;0.615384615384615;0.615384615384615
bagFDA           ;0.714285714285714;0.2              ;0.75             ;0.3125           ;0.3125           
