model;recall;precision;specificity;F1;F2
gbm               ;0.2               ;0.0666666666666667;0.936651583710407 ;0.1               ;0.1               
gbm               ;0.75              ;0.2               ;0.945945945945946 ;0.315789473684211 ;0.315789473684211 
gbm               ;0.4               ;0.133333333333333 ;0.941176470588235 ;0.2               ;0.2               
glm               ;0.181818181818182 ;0.133333333333333 ;0.93953488372093  ;0.153846153846154 ;0.153846153846154 
glm               ;0.333333333333333 ;0.2               ;0.944700460829493 ;0.25              ;0.25              
glm               ;0.666666666666667 ;0.133333333333333 ;0.94170403587444  ;0.222222222222222 ;0.222222222222222 
nnet              ;0.25              ;0.2               ;0.94392523364486  ;0.222222222222222 ;0.222222222222222 
nnet              ;0.153846153846154 ;0.266666666666667 ;0.945             ;0.195121951219512 ;0.195121951219512 
nnet              ;0.5               ;0.2               ;0.945454545454545 ;0.285714285714286 ;0.285714285714286 
treebag           ;NaN               ;0                 ;0.933628318584071 ;0                 ;NaN               
treebag           ;NaN               ;0                 ;0.933628318584071 ;0                 ;NaN               
treebag           ;0.333333333333333 ;0.0666666666666667;0.937219730941704 ;0.111111111111111 ;0.111111111111111 
fda               ;0.181818181818182 ;0.133333333333333 ;0.93953488372093  ;0.153846153846154 ;0.153846153846154 
fda               ;0.2               ;0.133333333333333 ;0.939814814814815 ;0.16              ;0.16              
fda               ;0.357142857142857 ;0.333333333333333 ;0.952830188679245 ;0.344827586206897 ;0.344827586206897 
bagFDAGCV         ;0.5               ;0.2               ;0.945454545454545 ;0.285714285714286 ;0.285714285714286 
bagFDAGCV         ;0.5               ;0.133333333333333 ;0.941441441441441 ;0.210526315789474 ;0.210526315789474 
bagFDAGCV         ;0.454545454545455 ;0.333333333333333 ;0.953488372093023 ;0.384615384615385 ;0.384615384615385 
bagFDA            ;0.5               ;0.333333333333333 ;0.953703703703704 ;0.4               ;0.4               
bagFDA            ;0.333333333333333 ;0.0666666666666667;0.937219730941704 ;0.111111111111111 ;0.111111111111111 
bagFDA            ;0.75              ;0.2               ;0.945945945945946 ;0.315789473684211 ;0.315789473684211 
