recall;precision;specificity;F1;F2;confmatNN;confmatNY;confmatYN;confmatYY
0.02564103;0.10000000;0.99148534;0.04081633;0.04081633;1048.00000000;9.00000000;38.00000000;1.00000000
0.00000000;0.00000000;0.99053926;0.00000000;NaN;1047.00000000;10.00000000;39.00000000;0.00000000
0.00000000;NaN;1.00000000;0.00000000;NaN;1057.00000000;0.00000000;39.00000000;0.00000000
0.02564103;0.25000000;0.99716178;0.04651163;0.04651163;1054.00000000;3.00000000;38.00000000;1.00000000
0.02564103;0.08333333;0.98959319;0.03921569;0.03921569;1046.00000000;11.00000000;38.00000000;1.00000000
0.02564103;0.08333333;0.98959319;0.03921569;0.03921569;1046.00000000;11.00000000;38.00000000;1.00000000
0.02564103;0.07692308;0.98864711;0.03846154;0.03846154;1045.00000000;12.00000000;38.00000000;1.00000000
0.02564103;0.11111111;0.99243141;0.04166667;0.04166667;1049.00000000;8.00000000;38.00000000;1.00000000
0.02564103;0.07692308;0.98864711;0.03846154;0.03846154;1045.00000000;12.00000000;38.00000000;1.00000000
0.00000000;0.00000000;0.99905393;0.00000000;NaN;1056.00000000;1.00000000;39.00000000;0.00000000
0.02564103;0.14285714;0.99432356;0.04347826;0.04347826;1051.00000000;6.00000000;38.00000000;1.00000000
0.02564103;0.16666667;0.99526963;0.04444444;0.04444444;1052.00000000;5.00000000;38.00000000;1.00000000
0.00000000;0.00000000;0.99810785;0.00000000;NaN;1055.00000000;2.00000000;39.00000000;0.00000000
0.02564103;0.05882353;0.98486282;0.03571429;0.03571429;1041.00000000;16.00000000;38.00000000;1.00000000
0.00000000;0.00000000;0.99905393;0.00000000;NaN;1056.00000000;1.00000000;39.00000000;0.00000000
0.02564103;0.25000000;0.99716178;0.04651163;0.04651163;1054.00000000;3.00000000;38.00000000;1.00000000
0.02564103;0.10000000;0.99148534;0.04081633;0.04081633;1048.00000000;9.00000000;38.00000000;1.00000000
0.00000000;0.00000000;0.99621570;0.00000000;NaN;1053.00000000;4.00000000;39.00000000;0.00000000
0.00000000;0.00000000;0.98959319;0.00000000;NaN;1046.00000000;11.00000000;39.00000000;0.00000000
0.02564103;0.09090909;0.99053926;0.04000000;0.04000000;1047.00000000;10.00000000;38.00000000;1.00000000
