recall;precision;specificity;F1;F2;confmatNN;confmatNY;confmatYN;confmatYY
0.3839286;0.5890411;0.9678457;0.4648649;0.4648649;903.0000000;30.0000000;69.0000000;43.0000000
0.5178571;0.5858586;0.9560557;0.5497630;0.5497630;892.0000000;41.0000000;54.0000000;58.0000000
0.3928571;0.4731183;0.9474812;0.4292683;0.4292683;884.0000000;49.0000000;68.0000000;44.0000000
0.4821429;0.5510204;0.9528403;0.5142857;0.5142857;889.0000000;44.0000000;58.0000000;54.0000000
0.4017857;0.5056180;0.9528403;0.4477612;0.4477612;889.0000000;44.0000000;67.0000000;45.0000000
0.4821429;0.5684211;0.9560557;0.5217391;0.5217391;892.0000000;41.0000000;58.0000000;54.0000000
0.4285714;0.5647059;0.9603430;0.4873096;0.4873096;896.0000000;37.0000000;64.0000000;48.0000000
0.4375000;0.5104167;0.9496249;0.4711538;0.4711538;886.0000000;47.0000000;63.0000000;49.0000000
0.4553571;0.5604396;0.9571275;0.5024631;0.5024631;893.0000000;40.0000000;61.0000000;51.0000000
0.4910714;0.6043956;0.9614148;0.5418719;0.5418719;897.0000000;36.0000000;57.0000000;55.0000000
0.4910714;0.5913978;0.9592712;0.5365854;0.5365854;895.0000000;38.0000000;57.0000000;55.0000000
0.4285714;0.5925926;0.9646302;0.4974093;0.4974093;900.0000000;33.0000000;64.0000000;48.0000000
0.4464286;0.5617978;0.9581994;0.4975124;0.4975124;894.0000000;39.0000000;62.0000000;50.0000000
0.5267857;0.5959596;0.9571275;0.5592417;0.5592417;893.0000000;40.0000000;53.0000000;59.0000000
0.4910714;0.5978261;0.9603430;0.5392157;0.5392157;896.0000000;37.0000000;57.0000000;55.0000000
0.4732143;0.5638298;0.9560557;0.5145631;0.5145631;892.0000000;41.0000000;59.0000000;53.0000000
0.4821429;0.5567010;0.9539121;0.5167464;0.5167464;890.0000000;43.0000000;58.0000000;54.0000000
0.4732143;0.6235294;0.9657020;0.5380711;0.5380711;901.0000000;32.0000000;59.0000000;53.0000000
0.5089286;0.5816327;0.9560557;0.5428571;0.5428571;892.0000000;41.0000000;55.0000000;57.0000000
0.4910714;0.5392157;0.9496249;0.5140187;0.5140187;886.0000000;47.0000000;57.0000000;55.0000000
