recall;precision;specificity;F1;F2;confmatNN;confmatNY;confmatYN;confmatYY
0.2000000;0.4242424;0.9786156;0.2718447;0.2718447;1739.0000000;38.0000000;112.0000000;28.0000000
0.2142857;0.3614458;0.9701745;0.2690583;0.2690583;1724.0000000;53.0000000;110.0000000;30.0000000
0.2357143;0.3837209;0.9701745;0.2920354;0.2920354;1724.0000000;53.0000000;107.0000000;33.0000000
0.2357143;0.4583333;0.9780529;0.3113208;0.3113208;1738.0000000;39.0000000;107.0000000;33.0000000
0.2071429;0.3625000;0.9712999;0.2636364;0.2636364;1726.0000000;51.0000000;111.0000000;29.0000000
0.2000000;0.3218391;0.9667980;0.2466960;0.2466960;1718.0000000;59.0000000;112.0000000;28.0000000
0.2071429;0.3411765;0.9684862;0.2577778;0.2577778;1721.0000000;56.0000000;111.0000000;29.0000000
0.2000000;0.4179104;0.9780529;0.2705314;0.2705314;1738.0000000;39.0000000;112.0000000;28.0000000
0.2857143;0.4494382;0.9724254;0.3493450;0.3493450;1728.0000000;49.0000000;100.0000000;40.0000000
0.1857143;0.4333333;0.9808666;0.2600000;0.2600000;1743.0000000;34.0000000;114.0000000;26.0000000
0.2428571;0.4303797;0.9746764;0.3105023;0.3105023;1732.0000000;45.0000000;106.0000000;34.0000000
0.2357143;0.3626374;0.9673607;0.2857143;0.2857143;1719.0000000;58.0000000;107.0000000;33.0000000
0.1785714;0.3676471;0.9758019;0.2403846;0.2403846;1734.0000000;43.0000000;115.0000000;25.0000000
0.1857143;0.4000000;0.9780529;0.2536585;0.2536585;1738.0000000;39.0000000;114.0000000;26.0000000
0.2000000;0.3888889;0.9752392;0.2641509;0.2641509;1733.0000000;44.0000000;112.0000000;28.0000000
0.2428571;0.4722222;0.9786156;0.3207547;0.3207547;1739.0000000;38.0000000;106.0000000;34.0000000
0.2285714;0.4444444;0.9774902;0.3018868;0.3018868;1737.0000000;40.0000000;108.0000000;32.0000000
0.1642857;0.4035088;0.9808666;0.2335025;0.2335025;1743.0000000;34.0000000;117.0000000;23.0000000
0.2571429;0.4337349;0.9735509;0.3228700;0.3228700;1730.0000000;47.0000000;104.0000000;36.0000000
0.2714286;0.3917526;0.9667980;0.3206751;0.3206751;1718.0000000;59.0000000;102.0000000;38.0000000
