recall;precision;specificity;F1;F2;confmatNN;confmatNY;confmatYN;confmatYY
0.00000000;0.00000000;0.99275362;0.00000000;NaN;1507.00000000;11.00000000;30.00000000;0.00000000
0.00000000;0.00000000;0.98616601;0.00000000;NaN;1497.00000000;21.00000000;30.00000000;0.00000000
0.06666667;0.08695652;0.98616601;0.07547170;0.07547170;1497.00000000;21.00000000;28.00000000;2.00000000
0.00000000;0.00000000;0.99472991;0.00000000;NaN;1510.00000000;8.00000000;30.00000000;0.00000000
0.00000000;0.00000000;0.99538867;0.00000000;NaN;1511.00000000;7.00000000;30.00000000;0.00000000
0.03333333;0.07142857;0.99143610;0.04545455;0.04545455;1505.00000000;13.00000000;29.00000000;1.00000000
0.00000000;0.00000000;0.99275362;0.00000000;NaN;1507.00000000;11.00000000;30.00000000;0.00000000
0.00000000;0.00000000;0.98814229;0.00000000;NaN;1500.00000000;18.00000000;30.00000000;0.00000000
0.10000000;0.17647059;0.99077734;0.12765957;0.12765957;1504.00000000;14.00000000;27.00000000;3.00000000
0.00000000;0.00000000;0.98945982;0.00000000;NaN;1502.00000000;16.00000000;30.00000000;0.00000000
0.00000000;0.00000000;0.98945982;0.00000000;NaN;1502.00000000;16.00000000;30.00000000;0.00000000
0.00000000;0.00000000;0.99077734;0.00000000;NaN;1504.00000000;14.00000000;30.00000000;0.00000000
0.03333333;0.06250000;0.99011858;0.04347826;0.04347826;1503.00000000;15.00000000;29.00000000;1.00000000
0.06666667;0.13333333;0.99143610;0.08888889;0.08888889;1505.00000000;13.00000000;28.00000000;2.00000000
0.06666667;0.08695652;0.98616601;0.07547170;0.07547170;1497.00000000;21.00000000;28.00000000;2.00000000
0.03333333;0.12500000;0.99538867;0.05263158;0.05263158;1511.00000000;7.00000000;29.00000000;1.00000000
0.10000000;0.11111111;0.98418972;0.10526316;0.10526316;1494.00000000;24.00000000;27.00000000;3.00000000
0.03333333;0.06250000;0.99011858;0.04347826;0.04347826;1503.00000000;15.00000000;29.00000000;1.00000000
0.03333333;0.05000000;0.98748353;0.04000000;0.04000000;1499.00000000;19.00000000;29.00000000;1.00000000
0.00000000;0.00000000;0.99011858;0.00000000;NaN;1503.00000000;15.00000000;30.00000000;0.00000000
