recall;precision;specificity;F1;F2;confmatNN;confmatNY;confmatYN;confmatYY
0.3272727;0.4285714;0.9762023;0.3711340;0.3711340;1969.0000000;48.0000000;74.0000000;36.0000000
0.3545455;0.4756098;0.9786812;0.4062500;0.4062500;1974.0000000;43.0000000;71.0000000;39.0000000
0.3909091;0.4432990;0.9732276;0.4154589;0.4154589;1963.0000000;54.0000000;67.0000000;43.0000000
0.3636364;0.3773585;0.9672781;0.3703704;0.3703704;1951.0000000;66.0000000;70.0000000;40.0000000
0.3727273;0.4606742;0.9762023;0.4120603;0.4120603;1969.0000000;48.0000000;69.0000000;41.0000000
0.3545455;0.4062500;0.9717402;0.3786408;0.3786408;1960.0000000;57.0000000;71.0000000;39.0000000
0.3363636;0.5068493;0.9821517;0.4043716;0.4043716;1981.0000000;36.0000000;73.0000000;37.0000000
0.4454545;0.5268817;0.9781854;0.4827586;0.4827586;1973.0000000;44.0000000;61.0000000;49.0000000
0.4000000;0.4680851;0.9752107;0.4313725;0.4313725;1967.0000000;50.0000000;66.0000000;44.0000000
0.4545455;0.5434783;0.9791770;0.4950495;0.4950495;1975.0000000;42.0000000;60.0000000;50.0000000
0.3545455;0.4482759;0.9762023;0.3959391;0.3959391;1969.0000000;48.0000000;71.0000000;39.0000000
0.4272727;0.5280899;0.9791770;0.4723618;0.4723618;1975.0000000;42.0000000;63.0000000;47.0000000
0.2818182;0.4769231;0.9831433;0.3542857;0.3542857;1983.0000000;34.0000000;79.0000000;31.0000000
0.3090909;0.3777778;0.9722360;0.3400000;0.3400000;1961.0000000;56.0000000;76.0000000;34.0000000
0.3000000;0.4520548;0.9801686;0.3606557;0.3606557;1977.0000000;40.0000000;77.0000000;33.0000000
0.3909091;0.4526316;0.9742191;0.4195122;0.4195122;1965.0000000;52.0000000;67.0000000;43.0000000
0.4363636;0.5333333;0.9791770;0.4800000;0.4800000;1975.0000000;42.0000000;62.0000000;48.0000000
0.3818182;0.5060241;0.9796728;0.4352332;0.4352332;1976.0000000;41.0000000;68.0000000;42.0000000
0.3818182;0.4516129;0.9747149;0.4137931;0.4137931;1966.0000000;51.0000000;68.0000000;42.0000000
0.3000000;0.4782609;0.9821517;0.3687151;0.3687151;1981.0000000;36.0000000;77.0000000;33.0000000
