recall;precision;specificity;F1;F2;confmatNN;confmatNY;confmatYN;confmatYY
0.19444444;0.33333333;0.98567042;0.24561404;0.24561404;963.00000000;14.00000000;29.00000000;7.00000000
0.19444444;0.25000000;0.97850563;0.21875000;0.21875000;956.00000000;21.00000000;29.00000000;7.00000000
0.11111111;0.23529412;0.98669396;0.15094340;0.15094340;964.00000000;13.00000000;32.00000000;4.00000000
0.13888889;0.27777778;0.98669396;0.18518519;0.18518519;964.00000000;13.00000000;31.00000000;5.00000000
0.11111111;0.20000000;0.98362334;0.14285714;0.14285714;961.00000000;16.00000000;32.00000000;4.00000000
0.08333333;0.18750000;0.98669396;0.11538462;0.11538462;964.00000000;13.00000000;33.00000000;3.00000000
0.13888889;0.18518519;0.97748209;0.15873016;0.15873016;955.00000000;22.00000000;31.00000000;5.00000000
0.11111111;0.18181818;0.98157625;0.13793103;0.13793103;959.00000000;18.00000000;32.00000000;4.00000000
0.16666667;0.37500000;0.98976459;0.23076923;0.23076923;967.00000000;10.00000000;30.00000000;6.00000000
0.19444444;0.26923077;0.98055271;0.22580645;0.22580645;958.00000000;19.00000000;29.00000000;7.00000000
0.13888889;0.21739130;0.98157625;0.16949153;0.16949153;959.00000000;18.00000000;31.00000000;5.00000000
0.13888889;0.35714286;0.99078813;0.20000000;0.20000000;968.00000000;9.00000000;31.00000000;5.00000000
0.05555556;0.09090909;0.97952917;0.06896552;0.06896552;957.00000000;20.00000000;34.00000000;2.00000000
0.16666667;0.26086957;0.98259980;0.20338983;0.20338983;960.00000000;17.00000000;30.00000000;6.00000000
0.13888889;0.27777778;0.98669396;0.18518519;0.18518519;964.00000000;13.00000000;31.00000000;5.00000000
0.16666667;0.30000000;0.98567042;0.21428571;0.21428571;963.00000000;14.00000000;30.00000000;6.00000000
0.11111111;0.20000000;0.98362334;0.14285714;0.14285714;961.00000000;16.00000000;32.00000000;4.00000000
0.22222222;0.36363636;0.98567042;0.27586207;0.27586207;963.00000000;14.00000000;28.00000000;8.00000000
0.13888889;0.27777778;0.98669396;0.18518519;0.18518519;964.00000000;13.00000000;31.00000000;5.00000000
0.16666667;0.23076923;0.97952917;0.19354839;0.19354839;957.00000000;20.00000000;30.00000000;6.00000000
