recall;precision;specificity;F1;F2;confmatNN;confmatNY;confmatYN;confmatYY
0.4675325;0.5294118;0.9633448;0.4965517;0.4965517;841.0000000;32.0000000;41.0000000;36.0000000
0.3896104;0.5000000;0.9656357;0.4379562;0.4379562;843.0000000;30.0000000;47.0000000;30.0000000
0.4675325;0.5070423;0.9599084;0.4864865;0.4864865;838.0000000;35.0000000;41.0000000;36.0000000
0.4025974;0.4696970;0.9599084;0.4335664;0.4335664;838.0000000;35.0000000;46.0000000;31.0000000
0.5454545;0.5753425;0.9644903;0.5600000;0.5600000;842.0000000;31.0000000;35.0000000;42.0000000
0.4285714;0.5409836;0.9679267;0.4782609;0.4782609;845.0000000;28.0000000;44.0000000;33.0000000
0.4805195;0.5781250;0.9690722;0.5248227;0.5248227;846.0000000;27.0000000;40.0000000;37.0000000
0.4805195;0.5138889;0.9599084;0.4966443;0.4966443;838.0000000;35.0000000;40.0000000;37.0000000
0.4935065;0.5846154;0.9690722;0.5352113;0.5352113;846.0000000;27.0000000;39.0000000;38.0000000
0.5194805;0.5405405;0.9610538;0.5298013;0.5298013;839.0000000;34.0000000;37.0000000;40.0000000
0.4285714;0.4925373;0.9610538;0.4583333;0.4583333;839.0000000;34.0000000;44.0000000;33.0000000
0.4935065;0.5277778;0.9610538;0.5100671;0.5100671;839.0000000;34.0000000;39.0000000;38.0000000
0.4545455;0.5468750;0.9667812;0.4964539;0.4964539;844.0000000;29.0000000;42.0000000;35.0000000
0.4545455;0.5223881;0.9633448;0.4861111;0.4861111;841.0000000;32.0000000;42.0000000;35.0000000
0.4805195;0.5692308;0.9679267;0.5211268;0.5211268;845.0000000;28.0000000;40.0000000;37.0000000
0.4545455;0.5223881;0.9633448;0.4861111;0.4861111;841.0000000;32.0000000;42.0000000;35.0000000
0.5584416;0.5375000;0.9576174;0.5477707;0.5477707;836.0000000;37.0000000;34.0000000;43.0000000
0.4545455;0.5468750;0.9667812;0.4964539;0.4964539;844.0000000;29.0000000;42.0000000;35.0000000
0.4935065;0.5277778;0.9610538;0.5100671;0.5100671;839.0000000;34.0000000;39.0000000;38.0000000
0.4805195;0.5362319;0.9633448;0.5068493;0.5068493;841.0000000;32.0000000;40.0000000;37.0000000
