recall;precision;specificity;F1;F2;confmatNN;confmatNY;confmatYN;confmatYY
0.2708333;0.3939394;0.9911700;0.3209877;0.3209877;2245.0000000;20.0000000;35.0000000;13.0000000
0.1875000;0.3913043;0.9938190;0.2535211;0.2535211;2251.0000000;14.0000000;39.0000000;9.0000000
0.2916667;0.5000000;0.9938190;0.3684211;0.3684211;2251.0000000;14.0000000;34.0000000;14.0000000
0.2916667;0.4827586;0.9933775;0.3636364;0.3636364;2250.0000000;15.0000000;34.0000000;14.0000000
0.3333333;0.3809524;0.9885210;0.3555556;0.3555556;2239.0000000;26.0000000;32.0000000;16.0000000
0.3333333;0.5161290;0.9933775;0.4050633;0.4050633;2250.0000000;15.0000000;32.0000000;16.0000000
0.3333333;0.5161290;0.9933775;0.4050633;0.4050633;2250.0000000;15.0000000;32.0000000;16.0000000
0.3541667;0.5666667;0.9942605;0.4358974;0.4358974;2252.0000000;13.0000000;31.0000000;17.0000000
0.3958333;0.4634146;0.9902870;0.4269663;0.4269663;2243.0000000;22.0000000;29.0000000;19.0000000
0.2500000;0.4000000;0.9920530;0.3076923;0.3076923;2247.0000000;18.0000000;36.0000000;12.0000000
0.2291667;0.3548387;0.9911700;0.2784810;0.2784810;2245.0000000;20.0000000;37.0000000;11.0000000
0.2916667;0.4375000;0.9920530;0.3500000;0.3500000;2247.0000000;18.0000000;34.0000000;14.0000000
0.2708333;0.4482759;0.9929360;0.3376623;0.3376623;2249.0000000;16.0000000;35.0000000;13.0000000
0.2708333;0.3513514;0.9894040;0.3058824;0.3058824;2241.0000000;24.0000000;35.0000000;13.0000000
0.3333333;0.4444444;0.9911700;0.3809524;0.3809524;2245.0000000;20.0000000;32.0000000;16.0000000
0.2708333;0.4062500;0.9916115;0.3250000;0.3250000;2246.0000000;19.0000000;35.0000000;13.0000000
0.3125000;0.4285714;0.9911700;0.3614458;0.3614458;2245.0000000;20.0000000;33.0000000;15.0000000
0.2291667;0.4400000;0.9938190;0.3013699;0.3013699;2251.0000000;14.0000000;37.0000000;11.0000000
0.2916667;0.5384615;0.9947020;0.3783784;0.3783784;2253.0000000;12.0000000;34.0000000;14.0000000
0.4375000;0.4772727;0.9898455;0.4565217;0.4565217;2242.0000000;23.0000000;27.0000000;21.0000000
