"recall";"precision";"specificity";"F1";"F2"
"0.7380952381";"0.3009708738";"0.8649155722";"0.4275862069";"0.4275862069"
"0.6190476190";"0.2826086957";"0.8761726079";"0.3880597015";"0.3880597015"
"0.7857142857";"0.3300000000";"0.8742964353";"0.4647887324";"0.4647887324"
"0.8095238095";"0.3063063063";"0.8555347092";"0.4444444444";"0.4444444444"
"0.7380952381";"0.2719298246";"0.8442776735";"0.3974358974";"0.3974358974"
"0.7142857143";"0.2884615385";"0.8611632270";"0.4109589041";"0.4109589041"
"0.7619047619";"0.2831858407";"0.8480300188";"0.4129032258";"0.4129032258"
"0.7619047619";"0.2882882883";"0.8517823640";"0.4183006536";"0.4183006536"
"0.6428571429";"0.2523364486";"0.8499061914";"0.3624161074";"0.3624161074"
"0.6428571429";"0.2547169811";"0.8517823640";"0.3648648649";"0.3648648649"
"0.6428571429";"0.2903225806";"0.8761726079";"0.4000000000";"0.4000000000"
"0.7142857143";"0.3333333333";"0.8874296435";"0.4545454545";"0.4545454545"
"0.7619047619";"0.2882882883";"0.8517823640";"0.4183006536";"0.4183006536"
"0.6666666667";"0.2828282828";"0.8667917448";"0.3971631206";"0.3971631206"
"0.7142857143";"0.3000000000";"0.8686679174";"0.4225352113";"0.4225352113"
"0.6190476190";"0.2429906542";"0.8480300188";"0.3489932886";"0.3489932886"
"0.5000000000";"0.2121212121";"0.8536585366";"0.2978723404";"0.2978723404"
"0.7619047619";"0.3047619048";"0.8630393996";"0.4353741497";"0.4353741497"
"0.8095238095";"0.3238095238";"0.8667917448";"0.4625850340";"0.4625850340"
"0.7142857143";"0.2941176471";"0.8649155722";"0.4166666667";"0.4166666667"
