"recall";"precision";"specificity";"F1";"F2"
"0.7575757576";"0.3968253968";"0.9371900826";"0.5208333333";"0.5208333333"
"0.6060606061";"0.4255319149";"0.9553719008";"0.5000000000";"0.5000000000"
"0.6969696970";"0.3432835821";"0.9272727273";"0.4600000000";"0.4600000000"
"0.6666666667";"0.3384615385";"0.9289256198";"0.4489795918";"0.4489795918"
"0.7272727273";"0.3750000000";"0.9338842975";"0.4948453608";"0.4948453608"
"0.6666666667";"0.3384615385";"0.9289256198";"0.4489795918";"0.4489795918"
"0.5757575758";"0.4222222222";"0.9570247934";"0.4871794872";"0.4871794872"
"0.6969696970";"0.3593750000";"0.9322314050";"0.4742268041";"0.4742268041"
"0.7272727273";"0.4705882353";"0.9553719008";"0.5714285714";"0.5714285714"
"0.7575757576";"0.3968253968";"0.9371900826";"0.5208333333";"0.5208333333"
"0.6666666667";"0.3928571429";"0.9438016529";"0.4943820225";"0.4943820225"
"0.7272727273";"0.3692307692";"0.9322314050";"0.4897959184";"0.4897959184"
"0.8181818182";"0.3648648649";"0.9223140496";"0.5046728972";"0.5046728972"
"0.5151515152";"0.3400000000";"0.9454545455";"0.4096385542";"0.4096385542"
"0.6363636364";"0.4038461538";"0.9487603306";"0.4941176471";"0.4941176471"
"0.7272727273";"0.3287671233";"0.9190082645";"0.4528301887";"0.4528301887"
"0.5757575758";"0.4130434783";"0.9553719008";"0.4810126582";"0.4810126582"
"0.6969696970";"0.5111111111";"0.9636363636";"0.5897435897";"0.5897435897"
"0.6060606061";"0.3333333333";"0.9338842975";"0.4301075269";"0.4301075269"
"0.6666666667";"0.4150943396";"0.9487603306";"0.5116279070";"0.5116279070"
