"recall";"precision";"specificity";"F1";"F2"
"0.5454545455";"0.3000000000";"0.9522184300";"0.3870967742";"0.3870967742"
"0.3636363636";"0.1666666667";"0.9317406143";"0.2285714286";"0.2285714286"
"0.4545454545";"0.2777777778";"0.9556313993";"0.3448275862";"0.3448275862"
"0.4545454545";"0.2500000000";"0.9488054608";"0.3225806452";"0.3225806452"
"0.4545454545";"0.3571428571";"0.9692832765";"0.4000000000";"0.4000000000"
"0.6363636364";"0.2500000000";"0.9283276451";"0.3589743590";"0.3589743590"
"0.5454545455";"0.2307692308";"0.9317406143";"0.3243243243";"0.3243243243"
"0.5454545455";"0.1935483871";"0.9146757679";"0.2857142857";"0.2857142857"
"0.5454545455";"0.2857142857";"0.9488054608";"0.3750000000";"0.3750000000"
"0.2727272727";"0.1875000000";"0.9556313993";"0.2222222222";"0.2222222222"
"0.3636363636";"0.2222222222";"0.9522184300";"0.2758620690";"0.2758620690"
"0.3636363636";"0.2105263158";"0.9488054608";"0.2666666667";"0.2666666667"
"0.3636363636";"0.2500000000";"0.9590443686";"0.2962962963";"0.2962962963"
"0.1818181818";"0.2000000000";"0.9726962457";"0.1904761905";"0.1904761905"
"0.7272727273";"0.2857142857";"0.9317406143";"0.4102564103";"0.4102564103"
"0.3636363636";"0.1739130435";"0.9351535836";"0.2352941176";"0.2352941176"
"0.3636363636";"0.3076923077";"0.9692832765";"0.3333333333";"0.3333333333"
"0.5454545455";"0.2727272727";"0.9453924915";"0.3636363636";"0.3636363636"
"0.3636363636";"0.2352941176";"0.9556313993";"0.2857142857";"0.2857142857"
"0.3636363636";"0.1600000000";"0.9283276451";"0.2222222222";"0.2222222222"
