"recall";"precision";"specificity";"F1";"F2"
"0.4821428571";"0.5046728972";"0.9431939979";"0.4931506849";"0.4931506849"
"0.4107142857";"0.4646464646";"0.9431939979";"0.4360189573";"0.4360189573"
"0.4285714286";"0.4800000000";"0.9442658092";"0.4528301887";"0.4528301887"
"0.4196428571";"0.4653465347";"0.9421221865";"0.4413145540";"0.4413145540"
"0.4285714286";"0.4948453608";"0.9474812433";"0.4593301435";"0.4593301435"
"0.4821428571";"0.5510204082";"0.9528403001";"0.5142857143";"0.5142857143"
"0.4375000000";"0.5104166667";"0.9496248660";"0.4711538462";"0.4711538462"
"0.4196428571";"0.4159292035";"0.9292604502";"0.4177777778";"0.4177777778"
"0.4285714286";"0.5161290323";"0.9517684887";"0.4682926829";"0.4682926829"
"0.4732142857";"0.5047619048";"0.9442658092";"0.4884792627";"0.4884792627"
"0.4285714286";"0.4800000000";"0.9442658092";"0.4528301887";"0.4528301887"
"0.4375000000";"0.5384615385";"0.9549839228";"0.4827586207";"0.4827586207"
"0.3660714286";"0.4141414141";"0.9378349411";"0.3886255924";"0.3886255924"
"0.4196428571";"0.4563106796";"0.9399785638";"0.4372093023";"0.4372093023"
"0.4642857143";"0.5048543689";"0.9453376206";"0.4837209302";"0.4837209302"
"0.4464285714";"0.4672897196";"0.9389067524";"0.4566210046";"0.4566210046"
"0.4910714286";"0.5000000000";"0.9410503751";"0.4954954955";"0.4954954955"
"0.4642857143";"0.5048543689";"0.9453376206";"0.4837209302";"0.4837209302"
"0.3750000000";"0.4666666667";"0.9485530547";"0.4158415842";"0.4158415842"
"0.3660714286";"0.5000000000";"0.9560557342";"0.4226804124";"0.4226804124"
