"recall";"precision";"specificity";"F1";"F2"
"0.4675324675";"0.4615384615";"0.9518900344";"0.4645161290";"0.4645161290"
"0.3376623377";"0.3939393939";"0.9541809851";"0.3636363636";"0.3636363636"
"0.3766233766";"0.4461538462";"0.9587628866";"0.4084507042";"0.4084507042"
"0.4155844156";"0.5245901639";"0.9667812142";"0.4637681159";"0.4637681159"
"0.4545454545";"0.5000000000";"0.9599083620";"0.4761904762";"0.4761904762"
"0.4545454545";"0.5072463768";"0.9610538373";"0.4794520548";"0.4794520548"
"0.3896103896";"0.4545454545";"0.9587628866";"0.4195804196";"0.4195804196"
"0.3766233766";"0.5000000000";"0.9667812142";"0.4296296296";"0.4296296296"
"0.4025974026";"0.4558823529";"0.9576174112";"0.4275862069";"0.4275862069"
"0.4155844156";"0.4637681159";"0.9576174112";"0.4383561644";"0.4383561644"
"0.3896103896";"0.5084745763";"0.9667812142";"0.4411764706";"0.4411764706"
"0.4545454545";"0.4729729730";"0.9553264605";"0.4635761589";"0.4635761589"
"0.3636363636";"0.4375000000";"0.9587628866";"0.3971631206";"0.3971631206"
"0.3506493506";"0.4426229508";"0.9610538373";"0.3913043478";"0.3913043478"
"0.4285714286";"0.5156250000";"0.9644902635";"0.4680851064";"0.4680851064"
"0.3636363636";"0.3943661972";"0.9507445590";"0.3783783784";"0.3783783784"
"0.4935064935";"0.4810126582";"0.9530355097";"0.4871794872";"0.4871794872"
"0.3766233766";"0.4202898551";"0.9541809851";"0.3972602740";"0.3972602740"
"0.3116883117";"0.4528301887";"0.9667812142";"0.3692307692";"0.3692307692"
"0.4155844156";"0.4776119403";"0.9599083620";"0.4444444444";"0.4444444444"
