"recall";"precision";"specificity";"F1";"F2"
"0.3809523810";"0.2500000000";"0.8139534884";"0.3018867925";"0.3018867925"
"0.3571428571";"0.3000000000";"0.8643410853";"0.3260869565";"0.3260869565"
"0.3333333333";"0.2592592593";"0.8449612403";"0.2916666667";"0.2916666667"
"0.2619047619";"0.2291666667";"0.8565891473";"0.2444444444";"0.2444444444"
"0.1666666667";"0.1707317073";"0.8682170543";"0.1686746988";"0.1686746988"
"0.2142857143";"0.2000000000";"0.8604651163";"0.2068965517";"0.2068965517"
"0.4047619048";"0.3207547170";"0.8604651163";"0.3578947368";"0.3578947368"
"0.3809523810";"0.2962962963";"0.8527131783";"0.3333333333";"0.3333333333"
"0.2857142857";"0.1875000000";"0.7984496124";"0.2264150943";"0.2264150943"
"0.2619047619";"0.1964285714";"0.8255813953";"0.2244897959";"0.2244897959"
"0.2619047619";"0.2340425532";"0.8604651163";"0.2471910112";"0.2471910112"
"0.4523809524";"0.3015873016";"0.8294573643";"0.3619047619";"0.3619047619"
"0.2380952381";"0.1666666667";"0.8062015504";"0.1960784314";"0.1960784314"
"0.3571428571";"0.2500000000";"0.8255813953";"0.2941176471";"0.2941176471"
"0.4047619048";"0.2881355932";"0.8372093023";"0.3366336634";"0.3366336634"
"0.2857142857";"0.2500000000";"0.8604651163";"0.2666666667";"0.2666666667"
"0.3809523810";"0.2962962963";"0.8527131783";"0.3333333333";"0.3333333333"
"0.4047619048";"0.2931034483";"0.8410852713";"0.3400000000";"0.3400000000"
"0.2619047619";"0.2156862745";"0.8449612403";"0.2365591398";"0.2365591398"
"0.3333333333";"0.2545454545";"0.8410852713";"0.2886597938";"0.2886597938"
