File;Class;Entity;ACAIC;ACMIC;AID;ANA;CAM;CBO;CBOin;CBOout;CIS;CLD;CP;DAM;DCAEC;DCC;DCMEC;DIT;DSC;EIC;EIP;FanOut;ICHClass;IR;LCOM1;LCOM2;LCOM5;LOC;MFA;MLOCsum;MOA;McCabe;NAD;NADExtended;NCM;NCP;NMA;NMD;NMDExtended;NMI;NMO;NOA;NOC;NOD;NOF;NOH;NOM;NOP;NOPM;NOParam;NOTC;NOTI;NPrM;PIIR;PP;REIP;RFC;RFC_New;RFP;RPII;RRFP;RRTP;RTP;SIX;TLOC;TestCaseLOC;USELESS;VGsum;WMC;WMC1;WMC_New;cohesionAttributes;connectivity;Entities;NAP;PSATD;MSATDNum;MSATDTag;RULE
src/components/org/apache/jmeter/assertions/BeanShellAssertion.java;BeanShellAssertion;org.apache.jmeter.assertions.BeanShellAssertion;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;6.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;-5.0;30.0;9.0;1.2;37.0;0.0;37.0;7.0;1.0;7.0;7.0;7.0;1.0;7.0;7.0;7.0;0.0;0.0;2.0;0.0;0.0;7.0;2.0;7.0;2.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;37.0;37.0;1.0;1.0;8.0;7.0;8.0;0.0;1.0;org.apache.jmeter.assertions.BeanShellAssertion;0;0;0;No;None
src/components/org/apache/jmeter/assertions/BSFAssertion.java;BSFAssertion;org.apache.jmeter.assertions.BSFAssertion;0.0;0.0;1.0;4.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;15.0;2.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;0.0;0.0;4.0;0.0;0.0;2.0;4.0;2.0;4.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;15.0;15.0;1.0;1.0;3.0;2.0;3.0;0.0;0.0;org.apache.jmeter.assertions.BSFAssertion;0;0;0;No;None
src/components/org/apache/jmeter/assertions/BSFAssertionBeanInfo.java;BSFAssertionBeanInfo;org.apache.jmeter.assertions.BSFAssertionBeanInfo;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;-1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;org.apache.jmeter.assertions.BSFAssertionBeanInfo;0;0;0;No;None
src/components/org/apache/jmeter/assertions/CompareAssertion.java;CompareAssertion;org.apache.jmeter.assertions.CompareAssertion;0.0;0.0;1.0;5.0;1.0000000000000002;9.0;0.0;9.0;10.0;0.0;0.0;1.0;0.0;9.0;0.0;1.0;19.0;0.0;0.0;0.0;0.0;-7.0;156.0;65.0;1.0833333333333333;77.0;0.0;77.0;5.0;10.0;6.0;6.0;14.0;1.0;14.0;14.0;14.0;0.0;0.0;5.0;0.0;0.0;6.0;5.0;14.0;5.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;5.0;19.0;0.0;1.0;0.0;0.0;0.0;0.0;77.0;77.0;1.0;10.0;40.0;14.0;24.0;0.0;1.0;org.apache.jmeter.assertions.CompareAssertion;0;0;0;No;None
src/components/org/apache/jmeter/assertions/CompareAssertionBeanInfo.java;CompareAssertionBeanInfo;org.apache.jmeter.assertions.CompareAssertionBeanInfo;0.0;0.0;1.0;1.0;0.0;3.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;-1.0;0.0;1.0;0.0;0.0;4.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;19.0;1.0;1.0;0.0;0.0;org.apache.jmeter.assertions.CompareAssertionBeanInfo;0;0;0;No;None
src/components/org/apache/jmeter/assertions/DurationAssertion.java;DurationAssertion;org.apache.jmeter.assertions.DurationAssertion;0.0;0.0;1.0;3.0;1.0;3.0;0.0;3.0;2.0;0.0;0.0;0.5;0.0;3.0;0.0;1.0;10.0;0.0;0.0;0.0;1.0;-1.0;2.0;0.0;2.0;12.0;0.0;12.0;1.0;2.0;2.0;2.0;3.0;1.0;3.0;3.0;3.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;3.0;3.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;12.0;12.0;1.0;2.0;8.0;3.0;5.0;0.0;0.0;org.apache.jmeter.assertions.DurationAssertion;0;0;0;No;None
src/components/org/apache/jmeter/assertions/gui/AssertionGui.java;AssertionGui;org.apache.jmeter.assertions.gui.AssertionGui;0.0;0.0;1.0;1.0;1.0;20.0;0.0;20.0;6.0;0.0;0.0;1.0;0.0;20.0;0.0;1.0;37.0;0.0;0.0;0.0;4.0;-1.0;70.0;15.0;0.8888888880610466;153.0;0.0;153.0;1.0;19.0;17.0;17.0;11.0;1.0;11.0;11.0;11.0;0.0;0.0;1.0;0.0;0.0;17.0;0.0;11.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;18.0;32.0;0.0;1.0;0.0;0.0;0.0;0.0;153.0;153.0;1.0;19.0;129.0;11.0;30.0;0.21390374331550802;0.0;org.apache.jmeter.assertions.gui.AssertionGui;0;0;0;No;None
src/components/org/apache/jmeter/assertions/gui/BeanShellAssertionGui.java;BeanShellAssertionGui;org.apache.jmeter.assertions.gui.BeanShellAssertionGui;0.0;0.0;1.0;1.0;1.0;5.0;0.0;5.0;6.0;0.0;0.0;1.0;0.0;5.0;0.0;1.0;22.0;0.0;0.0;0.0;5.0;-2.0;76.0;21.0;0.9111111081308789;65.0;0.0;65.0;1.0;0.0;5.0;5.0;11.0;1.0;11.0;11.0;11.0;0.0;0.0;1.0;0.0;0.0;5.0;0.0;11.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;14.0;27.0;0.0;1.0;0.0;0.0;0.0;0.0;65.0;65.0;1.0;0.0;63.0;11.0;11.0;0.16363636363636364;1.0;org.apache.jmeter.assertions.gui.BeanShellAssertionGui;0;1;0;No;None
src/components/org/apache/jmeter/assertions/gui/DurationAssertionGui.java;DurationAssertionGui;org.apache.jmeter.assertions.gui.DurationAssertionGui;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;7.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;15.0;0.0;0.0;0.0;1.0;-3.0;40.0;12.0;1.0;33.0;0.0;33.0;1.0;2.0;2.0;2.0;8.0;1.0;8.0;8.0;8.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;8.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;4.0;13.0;0.0;1.0;0.0;0.0;0.0;0.0;33.0;33.0;1.0;2.0;24.0;8.0;10.0;0.125;1.0;org.apache.jmeter.assertions.gui.DurationAssertionGui;0;0;0;No;None
src/components/org/apache/jmeter/assertions/gui/HTMLAssertionGui.java;HTMLAssertionGui;org.apache.jmeter.assertions.gui.HTMLAssertionGui;0.0;0.0;1.0;3.0;1.0000000000000002;22.0;0.0;22.0;12.0;0.0;0.0;1.0;0.0;22.0;0.0;1.0;34.0;0.0;0.0;0.0;1.0;-4.0;126.0;35.0;0.8958333277453979;136.0;0.0;136.0;2.0;15.0;12.0;12.0;14.0;1.0;14.0;14.0;14.0;0.0;0.0;3.0;0.0;0.0;12.0;0.0;14.0;3.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;24.0;39.0;0.0;1.0;0.0;0.0;0.0;0.0;136.0;136.0;1.0;15.0;96.0;14.0;29.0;0.21428571428571427;0.0;org.apache.jmeter.assertions.gui.HTMLAssertionGui;0;0;0;No;None
