File;Class;Entity;ACAIC;ACMIC;AID;ANA;CAM;CBO;CBOin;CBOout;CIS;CLD;CP;DAM;DCAEC;DCC;DCMEC;DIT;DSC;EIC;EIP;FanOut;ICHClass;IR;LCOM1;LCOM2;LCOM5;LOC;MFA;MLOCsum;MOA;McCabe;NAD;NADExtended;NCM;NCP;NMA;NMD;NMDExtended;NMI;NMO;NOA;NOC;NOD;NOF;NOH;NOM;NOP;NOPM;NOParam;NOTC;NOTI;NPrM;PIIR;PP;REIP;RFC;RFC_New;RFP;RPII;RRFP;RRTP;RTP;SIX;TLOC;TestCaseLOC;USELESS;VGsum;WMC;WMC1;WMC_New;cohesionAttributes;connectivity;Entities;NAP;PSATD;MSATDNum;MSATDTag;RULE
bsh/BlockNameSpace.java;BlockNameSpace;bsh.BlockNameSpace;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;0.0;0.0;1.0;-7.0;72.0;27.0;0.0;16.0;0.0;16.0;0.0;2.0;0.0;0.0;10.0;1.0;10.0;10.0;10.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;10.0;1.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;11.0;0.0;1.0;0.0;0.0;0.0;0.0;16.0;16.0;1.0;2.0;12.0;10.0;12.0;0.0;1.0;bsh.BlockNameSpace;0;0;0;No;None
bsh/BSHAllocationExpression.java;BSHAllocationExpression;bsh.BSHAllocationExpression;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;21.0;0.0;0.0;0.0;0.0;0.0;72.0;27.0;1.125;80.0;0.0;80.0;1.0;12.0;1.0;1.0;10.0;1.0;10.0;10.0;10.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;10.0;1.0;0.0;5.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;10.0;0.0;1.0;0.0;0.0;0.0;0.0;80.0;80.0;1.0;12.0;39.0;10.0;22.0;0.0;1.0;bsh.BSHAllocationExpression;0;1;0;No;None
bsh/BSHAmbiguousName.java;BSHAmbiguousName;bsh.BSHAmbiguousName;0.0;0.0;1.0;1.0;0.9999999999999999;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;0.0;0.0;0.0;-4.0;42.0;14.0;1.1666666666666667;14.0;0.0;14.0;1.0;0.0;1.0;1.0;8.0;1.0;8.0;8.0;8.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;8.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;8.0;0.0;1.0;0.0;0.0;0.0;0.0;14.0;14.0;1.0;0.0;12.0;8.0;8.0;0.0;1.0;bsh.BSHAmbiguousName;1;0;0;No;None
bsh/BSHArguments.java;BSHArguments;bsh.BSHArguments;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;6.0;0.0;1.0;0.0;0.0;2.0;1.0;2.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;6.0;6.0;1.0;1.0;4.0;2.0;3.0;0.0;0.0;bsh.BSHArguments;0;0;0;No;None
bsh/BSHArrayDimensions.java;BSHArrayDimensions;bsh.BSHArrayDimensions;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;8.0;0.0;0.0;0.0;0.0;-2.0;12.0;2.0;1.3333333333333333;29.0;0.0;29.0;3.0;5.0;4.0;4.0;5.0;1.0;5.0;5.0;5.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;5.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;29.0;29.0;1.0;5.0;12.0;5.0;10.0;0.0;2.0;bsh.BSHArrayDimensions;1;0;0;No;None
bsh/BSHArrayInitializer.java;BSHArrayInitializer;bsh.BSHArrayInitializer;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;8.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;38.0;0.0;38.0;0.0;6.0;0.0;0.0;4.0;1.0;4.0;4.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;38.0;38.0;1.0;6.0;15.0;4.0;10.0;0.0;3.0;bsh.BSHArrayInitializer;0;1;0;No;None
bsh/BSHAssignment.java;BSHAssignment;bsh.BSHAssignment;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;45.0;0.0;45.0;1.0;1648.0;1.0;1.0;3.0;1.0;3.0;3.0;3.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;3.0;2.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;45.0;45.0;1.0;1648.0;13.0;3.0;1651.0;0.0;0.0;bsh.BSHAssignment;1;0;0;No;None
bsh/BSHBinaryExpression.java;BSHBinaryExpression;bsh.BSHBinaryExpression;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;0.0;0.0;0.0;-2.0;6.0;0.0;1.5;44.0;0.0;44.0;1.0;1043.0;1.0;1.0;4.0;1.0;4.0;4.0;4.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;4.0;2.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;44.0;44.0;1.0;1043.0;25.0;4.0;1047.0;0.0;3.0;bsh.BSHBinaryExpression;1;0;0;No;None
bsh/BSHBlock.java;BSHBlock;bsh.BSHBlock;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;1.5;38.0;0.0;38.0;1.0;9.0;1.0;1.0;4.0;1.0;4.0;4.0;4.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;4.0;1.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;38.0;38.0;1.0;9.0;10.0;4.0;13.0;0.0;3.0;bsh.BSHBlock;1;0;0;No;None
bsh/BSHCastExpression.java;BSHCastExpression;bsh.BSHCastExpression;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;8.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;8.0;8.0;1.0;0.0;3.0;2.0;2.0;0.0;0.0;bsh.BSHCastExpression;0;0;0;No;None
