File;Class;Entity;ACAIC;ACMIC;AID;ANA;CAM;CBO;CBOin;CBOout;CIS;CLD;CP;DAM;DCAEC;DCC;DCMEC;DIT;DSC;EIC;EIP;FanOut;ICHClass;IR;LCOM1;LCOM2;LCOM5;LOC;MFA;MLOCsum;MOA;McCabe;NAD;NADExtended;NCM;NCP;NMA;NMD;NMDExtended;NMI;NMO;NOA;NOC;NOD;NOF;NOH;NOM;NOP;NOPM;NOParam;NOTC;NOTI;NPrM;PIIR;PP;REIP;RFC;RFC_New;RFP;RPII;RRFP;RRTP;RTP;SIX;TLOC;TestCaseLOC;USELESS;VGsum;WMC;WMC1;WMC_New;cohesionAttributes;connectivity;Entities;NAP;PSATD;MSATDNum;MSATDTag;RULE
experimental/org/jfree/experimental/chart/demo/CombinedCategoryPlotDemo1.java;CombinedCategoryPlotDemo1;org.jfree.experimental.chart.demo.CombinedCategoryPlotDemo1;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;0.0;0.0;4.0;0.0;20.0;5.0;0.0;83.0;0.0;83.0;0.0;0.0;0.0;0.0;6.0;1.0;6.0;6.0;6.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;6.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;11.0;0.0;1.0;0.0;0.0;0.0;0.0;83.0;83.0;1.0;0.0;27.0;6.0;6.0;0.0;1.0;org.jfree.experimental.chart.demo.CombinedCategoryPlotDemo1;0;0;0;No;None
experimental/org/jfree/experimental/chart/demo/CombinedXYPlotDemo1.java;CombinedXYPlotDemo1;org.jfree.experimental.chart.demo.CombinedXYPlotDemo1;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;0.0;0.0;4.0;0.0;20.0;5.0;0.0;99.0;0.0;99.0;0.0;0.0;0.0;0.0;6.0;1.0;6.0;6.0;6.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;6.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;11.0;0.0;1.0;0.0;0.0;0.0;0.0;99.0;99.0;1.0;0.0;28.0;6.0;6.0;0.0;1.0;org.jfree.experimental.chart.demo.CombinedXYPlotDemo1;0;0;0;No;None
experimental/org/jfree/experimental/chart/plot/CombinedCategoryPlot.java;CombinedCategoryPlot;org.jfree.experimental.chart.plot.CombinedCategoryPlot;0.0;0.0;1.0;1.0;1.0;4.0;0.0;4.0;5.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;6.0;0.0;0.0;0.0;0.0;-1.0;12.0;2.0;0.0;22.0;0.0;22.0;0.0;2.0;0.0;0.0;5.0;1.0;5.0;5.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;5.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;22.0;22.0;1.0;2.0;10.0;5.0;7.0;0.0;2.0;org.jfree.experimental.chart.plot.CombinedCategoryPlot;0;0;0;No;None
experimental/org/jfree/experimental/chart/plot/CombinedXYPlot.java;CombinedXYPlot;org.jfree.experimental.chart.plot.CombinedXYPlot;0.0;0.0;1.0;1.0;1.0;4.0;0.0;4.0;5.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;-1.0;12.0;2.0;0.0;22.0;0.0;22.0;0.0;2.0;0.0;0.0;5.0;1.0;5.0;5.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;5.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;22.0;22.0;1.0;2.0;10.0;5.0;7.0;0.0;2.0;org.jfree.experimental.chart.plot.CombinedXYPlot;0;0;0;No;None
experimental/org/jfree/experimental/chart/renderer/xy/XYSmoothLineAndShapeRenderer.java;XYSmoothLineAndShapeRenderer;org.jfree.experimental.chart.renderer.xy.XYSmoothLineAndShapeRenderer;0.0;0.0;1.0;1.0;1.0;12.0;0.0;12.0;3.0;0.0;0.0;0.0;0.0;12.0;0.0;1.0;15.0;0.0;0.0;0.0;0.0;-1.0;12.0;2.0;0.0;79.0;0.0;79.0;0.0;11.0;0.0;0.0;5.0;1.0;5.0;5.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;5.0;1.0;0.0;11.0;0.0;1.0;2.0;1.0;0.0;0.0;4.0;9.0;0.0;1.0;0.0;0.0;0.0;0.0;79.0;79.0;1.0;11.0;42.0;5.0;16.0;0.0;2.0;org.jfree.experimental.chart.renderer.xy.XYSmoothLineAndShapeRenderer;0;0;0;No;None
source/org/jfree/chart/annotations/AbstractAnnotation.java;AbstractAnnotation;org.jfree.chart.annotations.AbstractAnnotation;0.0;0.0;1.0;4.0;0.9999999999999998;7.0;0.0;7.0;6.0;0.0;0.0;1.0;0.0;7.0;0.0;1.0;15.0;0.0;0.0;0.0;1.0;-1.0;78.0;23.0;0.8888888888888888;20.0;0.0;20.0;1.0;3.0;2.0;2.0;11.0;1.0;11.0;11.0;11.0;0.0;0.0;4.0;0.0;0.0;2.0;0.0;11.0;4.0;0.0;1.0;0.0;1.0;3.0;1.0;0.0;0.0;8.0;19.0;0.0;1.0;0.0;0.0;0.0;0.0;20.0;20.0;1.0;3.0;31.0;11.0;14.0;0.18181818181818182;1.0;org.jfree.chart.annotations.AbstractAnnotation;0;1;0;No;None
source/org/jfree/chart/annotations/AbstractXYAnnotation.java;AbstractXYAnnotation;org.jfree.chart.annotations.AbstractXYAnnotation;0.0;0.0;1.0;2.0;1.0;2.0;0.0;2.0;7.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;12.0;0.0;0.0;0.0;0.0;-2.0;42.0;6.0;1.0;27.0;0.0;27.0;0.0;8.0;2.0;2.0;9.0;1.0;9.0;9.0;9.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;9.0;2.0;0.0;7.0;0.0;1.0;2.0;1.0;0.0;0.0;1.0;10.0;0.0;1.0;0.0;0.0;0.0;0.0;27.0;27.0;1.0;8.0;22.0;9.0;17.0;0.1111111111111111;1.0;org.jfree.chart.annotations.AbstractXYAnnotation;0;0;0;No;None
source/org/jfree/chart/annotations/Annotation.java;Annotation;org.jfree.chart.annotations.Annotation;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;2.0;0.0;0.0;org.jfree.chart.annotations.Annotation;0;0;0;No;None
source/org/jfree/chart/annotations/CategoryAnnotation.java;CategoryAnnotation;org.jfree.chart.annotations.CategoryAnnotation;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;5.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;org.jfree.chart.annotations.CategoryAnnotation;0;0;0;No;None
source/org/jfree/chart/annotations/CategoryLineAnnotation.java;CategoryLineAnnotation;org.jfree.chart.annotations.CategoryLineAnnotation;0.0;0.0;1.0;5.0;0.9999999999999998;4.0;0.0;4.0;17.0;0.0;0.0;0.8571428571428571;0.0;4.0;0.0;1.0;22.0;0.0;0.0;0.0;4.0;-5.0;304.0;133.0;1.016806720810778;81.0;0.0;81.0;3.0;10.0;7.0;7.0;19.0;1.0;19.0;19.0;19.0;0.0;0.0;5.0;0.0;0.0;7.0;0.0;19.0;5.0;0.0;6.0;0.0;1.0;0.0;1.0;0.0;0.0;12.0;31.0;0.0;1.0;0.0;0.0;0.0;0.0;81.0;81.0;1.0;10.0;56.0;19.0;29.0;0.03759398496240601;1.0;org.jfree.chart.annotations.CategoryLineAnnotation;0;0;0;No;None
