File;Class;Entity;ACAIC;ACMIC;AID;ANA;CAM;CBO;CBOin;CBOout;CIS;CLD;CP;DAM;DCAEC;DCC;DCMEC;DIT;DSC;EIC;EIP;FanOut;ICHClass;IR;LCOM1;LCOM2;LCOM5;LOC;MFA;MLOCsum;MOA;McCabe;NAD;NADExtended;NCM;NCP;NMA;NMD;NMDExtended;NMI;NMO;NOA;NOC;NOD;NOF;NOH;NOM;NOP;NOPM;NOParam;NOTC;NOTI;NPrM;PIIR;PP;REIP;RFC;RFC_New;RFP;RPII;RRFP;RRTP;RTP;SIX;TLOC;TestCaseLOC;USELESS;VGsum;WMC;WMC1;WMC_New;cohesionAttributes;connectivity;Entities;NAP;Kincaid;ARI;Coleman-Liau;FleschReadingEase;GunningFogIndex;LIX;SMOGIndex;RIX;DaleChallIndex;characters_per_word;syll_per_word;words_per_sentence;sentences_per_paragraph;type_token_ratio;characters;syllables;words;wordtypes;sentences;paragraphs;long_words;complex_words;complex_words_dc;tobeverb;auxverb;conjunction;pronoun;preposition;nominalization;interrogative;article;subordination;Tot;D;B;M;I;T;W;C;MSATDTag;MSATDNum
src/core/org/apache/jmeter/gui/util/TextAreaTableCellEditor.java;TextAreaTableCellEditor;org.apache.jmeter.gui.util.TextAreaTableCellEditor;0.0;0.0;1.0;3.0;0.9999999999999999;2.0;0.0;2.0;11.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;17.0;0.0;0.0;0.0;0.0;-5.0;48.0;0.0;0.9166666666666666;13.0;0.15384615384615385;13.0;3.0;0.0;4.0;4.0;13.0;1.0;11.0;11.0;11.0;2.0;0.0;3.0;0.0;0.0;4.0;0.0;11.0;3.0;0.0;6.0;0.0;1.0;3.0;1.0;0.0;0.0;3.0;14.0;0.0;1.0;0.0;0.0;0.0;0.0;13.0;13.0;1.0;0.0;25.0;11.0;11.0;0.20454545454545456;0.0;org.apache.jmeter.gui.util.TextAreaTableCellEditor;0;37.5173584906;48.4728176101;15.9926390491;-16.5871069182;41.3710691824;119.465408805;23.0;27.5;15.7042861635;5.4641509434;1.58113207547;88.3333333333;6.0;0.371698113208;2896;838;530;197;6;1;165;80;258;10;4;0;2;0;5;0;0;0;0;0;0;0;0;0;7;W;No;0
src/core/org/apache/jmeter/control/gui/TestPlanGui.java;TestPlanGui;org.apache.jmeter.control.gui.TestPlanGui;0.0;0.0;1.0;1.0;1.0;9.0;0.0;9.0;8.0;0.0;0.0;1.0;0.0;9.0;0.0;1.0;16.0;0.0;0.0;0.0;1.0;-3.0;54.0;18.0;0.9999999957425254;57.0;0.0;57.0;1.0;3.0;6.0;6.0;9.0;1.0;9.0;9.0;9.0;0.0;0.0;1.0;0.0;0.0;6.0;1.0;9.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;5.0;14.0;0.0;1.0;0.0;0.0;0.0;0.0;57.0;57.0;1.0;3.0;38.0;9.0;12.0;0.1111111111111111;1.0;org.apache.jmeter.control.gui.TestPlanGui;0;29.6122857143;39.004;15.5277159714;7.43471428571;34.2857142857;105.142857143;21.1659021246;24.6;14.3719;5.4;1.51714285714;70.0;5.0;0.537142857143;1890;531;350;188;5;1;123;55;161;12;9;0;2;0;14;0;1;0;0;0;0;0;0;0;16190;W;No;0
src/components/org/apache/jmeter/assertions/CompareAssertionBeanInfo.java;CompareAssertionBeanInfo;org.apache.jmeter.assertions.CompareAssertionBeanInfo;0.0;0.0;1.0;1.0;0.0;3.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;-1.0;0.0;1.0;0.0;0.0;4.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;19.0;1.0;1.0;0.0;0.0;org.apache.jmeter.assertions.CompareAssertionBeanInfo;0;17.1427536232;26.5534782609;14.7447691304;54.0884782609;23.9072463768;82.9565217391;16.7840487521;17.0;13.1265782609;5.30434782609;1.25362318841;46.0;3.0;0.652173913043;732;173;138;90;3;1;51;19;63;3;2;0;1;0;3;0;0;0;0;0;0;0;0;0;11572;W;No;0
src/reports/org/apache/jmeter/gui/ReportMainFrame.java;ReportMainFrame;org.apache.jmeter.gui.ReportMainFrame;0.0;0.0;1.0;1.0;0.9999999999999999;28.0;0.0;28.0;15.0;0.0;0.0;1.0;0.0;28.0;0.0;1.0;46.0;0.0;0.0;0.0;5.0;-12.0;342.0;132.0;1.0370370364851422;78.0;0.19230769230769232;78.0;5.0;4.0;12.0;12.0;26.0;1.0;21.0;21.0;21.0;5.0;0.0;1.0;0.0;0.0;12.0;0.0;21.0;1.0;0.0;3.0;0.0;1.0;8.0;1.0;0.0;0.0;46.0;69.0;0.0;1.0;0.0;0.0;0.0;0.0;78.0;78.0;1.0;4.0;99.0;21.0;25.0;0.031746031746031744;1.0;org.apache.jmeter.gui.ReportMainFrame;0;44.9174193548;58.3801221896;12.6225693094;-24.5205376344;50.5693059629;138.73998045;23.8566536146;28.5;15.8496745846;4.87829912023;1.37096774194;113.666666667;6.0;0.366568914956;3327;935;682;250;6;1;171;87;284;32;21;0;1;0;9;0;1;0;0;0;0;0;0;0;13959;W;No;0
src/components/org/apache/jmeter/visualizers/RespTimeGraphChart.java;RespTimeGraphChart;org.apache.jmeter.visualizers.RespTimeGraphChart;0.0;0.0;1.0;1.0;0.9999999999999996;13.0;0.0;13.0;30.0;0.0;0.0;1.0;0.0;13.0;0.0;1.0;30.0;0.0;0.0;0.0;0.0;-16.0;870.0;342.0;1.0344827586206897;102.0;0.0;102.0;10.0;9.0;20.0;20.0;33.0;1.0;33.0;33.0;33.0;0.0;0.0;1.0;0.0;0.0;20.0;1.0;33.0;1.0;0.0;11.0;0.0;1.0;18.0;1.0;0.0;0.0;11.0;44.0;0.0;1.0;0.0;0.0;0.0;0.0;102.0;102.0;1.0;9.0;87.0;33.0;42.0;0.0;1.0;org.apache.jmeter.visualizers.RespTimeGraphChart;0;36.9494117647;48.8213112745;14.9798715478;-8.35931372549;42.5901960784;118.607843137;23.7364413533;25.3333333333;15.7963607843;5.29044117647;1.45588235294;90.6666666667;3.0;0.540441176471;1439;396;272;147;3;1;76;43;132;4;4;0;1;0;8;0;0;0;0;0;0;0;0;0;6939;W;No;0
src/protocol/tcp/org/apache/jmeter/protocol/tcp/sampler/TCPClientDecorator.java;TCPClientDecorator;org.apache.jmeter.protocol.tcp.sampler.TCPClientDecorator;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;16.0;0.0;16.0;0.0;3.0;1.0;1.0;3.0;1.0;3.0;3.0;3.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;3.0;1.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;16.0;16.0;1.0;3.0;7.0;3.0;6.0;0.0;0.0;org.apache.jmeter.protocol.tcp.sampler.TCPClientDecorator;0;30.86125;39.7266815476;13.5434341384;6.79208333333;35.4023809524;101.452380952;20.6068168617;20.0;15.2349666667;5.05803571429;1.46875;74.6666666667;3.0;0.558035714286;1133;329;224;125;3;1;60;31;112;5;2;0;1;0;7;0;0;0;0;0;0;0;0;0;2;W;No;0
src/components/org/apache/jmeter/visualizers/StatGraphVisualizer.java;StatGraphVisualizer;org.apache.jmeter.visualizers.StatGraphVisualizer;0.0;0.0;1.0;3.0;1.0;60.0;0.0;60.0;11.0;0.0;0.0;1.0;0.0;60.0;0.0;1.0;57.0;0.0;0.0;0.0;15.0;-4.0;628.0;277.0;1.012413793206215;361.0;0.0;361.0;13.0;35.0;58.0;58.0;27.0;1.0;27.0;27.0;27.0;0.0;0.0;3.0;0.0;0.0;58.0;0.0;27.0;3.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;54.0;85.0;0.0;1.0;0.0;0.0;0.0;0.0;361.0;361.0;1.0;35.0;305.0;27.0;62.0;0.0421455938697318;1.0;org.apache.jmeter.visualizers.StatGraphVisualizer;0;27.9115934066;43.2663809524;17.2401868945;30.0175732601;33.7619047619;115.393772894;16.9642400438;30.0;16.6636135531;5.68571428571;1.18021978022;75.8333333333;6.0;0.512087912088;2587;537;455;233;6;1;180;39;267;5;4;0;1;0;4;0;0;0;1;1;0;0;0;0;166311;W;MayBe;1
src/core/org/apache/jmeter/engine/ClientJMeterEngine.java;ClientJMeterEngine;org.apache.jmeter.engine.ClientJMeterEngine;0.0;0.0;1.0;2.0;1.0;10.0;0.0;10.0;9.0;0.0;0.0;1.0;0.0;10.0;0.0;1.0;19.0;0.0;0.0;0.0;0.0;-4.0;72.0;27.0;1.125;66.0;0.0;66.0;2.0;4.0;6.0;6.0;10.0;1.0;10.0;10.0;10.0;0.0;0.0;2.0;0.0;0.0;6.0;0.0;10.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;9.0;19.0;0.0;1.0;0.0;0.0;0.0;0.0;66.0;66.0;1.0;4.0;29.0;10.0;14.0;0.0;1.0;org.apache.jmeter.engine.ClientJMeterEngine;0;28.4963551402;39.0411993769;14.7498045841;17.8101713396;33.953894081;103.576323988;20.0293863659;23.0;15.2172034268;5.26635514019;1.3785046729;71.3333333333;3.0;0.644859813084;1127;295;214;138;3;1;69;29;109;4;2;0;1;0;4;0;0;0;1;1;0;0;0;0;7039;W;Yes;2
src/core/org/apache/jmeter/gui/util/FilePanelEntry.java;FilePanelEntry;org.apache.jmeter.gui.util.FilePanelEntry;0.0;0.0;1.0;2.0;1.0;7.0;0.0;7.0;10.0;0.0;0.0;1.0;0.0;7.0;0.0;1.0;20.0;0.0;0.0;0.0;3.0;0.0;26.0;0.0;0.9821428571428571;24.0;0.0;24.0;1.0;5.0;8.0;8.0;12.0;1.0;12.0;12.0;12.0;0.0;0.0;2.0;0.0;0.0;8.0;2.0;12.0;2.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;15.0;27.0;0.0;1.0;0.0;0.0;0.0;0.0;24.0;24.0;1.0;5.0;41.0;12.0;17.0;0.125;0.0;org.apache.jmeter.gui.util.FilePanelEntry;0;23.3394152047;31.639122807;14.3516243743;29.2536842105;29.3497076023;89.7485380117;19.7332005307;18.6666666667;14.1278520468;5.21637426901;1.41520467836;57.0;3.0;0.619883040936;892;242;171;106;3;1;56;28;83;2;2;0;1;0;3;0;0;0;0;0;0;0;0;0;11546;W;No;0
src/functions/org/apache/jmeter/functions/Jexl2Function.java;Jexl2Function;org.apache.jmeter.functions.Jexl2Function;0.0;0.0;1.0;1.0;1.0;2.0;0.0;2.0;5.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;8.0;0.0;0.0;0.0;0.0;-3.0;12.0;2.0;1.3333333333333333;30.0;0.0;30.0;3.0;3.0;5.0;5.0;5.0;1.0;5.0;5.0;5.0;0.0;0.0;1.0;0.0;0.0;5.0;0.0;5.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;30.0;30.0;1.0;3.0;8.0;5.0;8.0;0.0;2.0;org.apache.jmeter.functions.Jexl2Function;0;22.9079329609;34.0320484171;15.697592838;37.0967970205;29.4532588454;97.0968342644;18.8113883008;22.3333333333;14.5350728119;5.44134078212;1.2905027933;59.6666666667;3.0;0.642458100559;974;231;179;115;3;1;67;25;90;6;6;0;1;0;5;0;0;0;1;1;0;0;0;0;23101;W;MayBe;1
