File;Class;Entity;ACAIC;ACMIC;AID;ANA;CAM;CBO;CBOin;CBOout;CIS;CLD;CP;DAM;DCAEC;DCC;DCMEC;DIT;DSC;EIC;EIP;FanOut;ICHClass;IR;LCOM1;LCOM2;LCOM5;LOC;MFA;MLOCsum;MOA;McCabe;NAD;NADExtended;NCM;NCP;NMA;NMD;NMDExtended;NMI;NMO;NOA;NOC;NOD;NOF;NOH;NOM;NOP;NOPM;NOParam;NOTC;NOTI;NPrM;PIIR;PP;REIP;RFC;RFC_New;RFP;RPII;RRFP;RRTP;RTP;SIX;TLOC;TestCaseLOC;USELESS;VGsum;WMC;WMC1;WMC_New;cohesionAttributes;connectivity;Entities;NAP;Kincaid;ARI;Coleman-Liau;FleschReadingEase;GunningFogIndex;LIX;SMOGIndex;RIX;DaleChallIndex;characters_per_word;syll_per_word;words_per_sentence;sentences_per_paragraph;type_token_ratio;characters;syllables;words;wordtypes;sentences;paragraphs;long_words;complex_words;complex_words_dc;tobeverb;auxverb;conjunction;pronoun;preposition;nominalization;interrogative;article;subordination;Tot;D;B;M;I;T;W;C;MSATDTag;MSATDNum
src/main/org/apache/tools/ant/taskdefs/optional/ejb/WeblogicTOPLinkDeploymentTool.java;WeblogicTOPLinkDeploymentTool;org.apache.tools.ant.taskdefs.optional.ejb.WeblogicTOPLinkDeploymentTool;0.0;0.0;1.0;1.0;1.0;2.0;0.0;2.0;4.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;7.0;0.0;0.0;0.0;0.0;-1.0;20.0;5.0;1.25;15.0;0.0;15.0;0.0;3.0;3.0;3.0;6.0;1.0;6.0;6.0;6.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;6.0;1.0;0.0;2.0;0.0;1.0;2.0;1.0;0.0;0.0;2.0;8.0;0.0;1.0;0.0;0.0;0.0;0.0;15.0;15.0;1.0;3.0;12.0;6.0;9.0;0.0;1.0;org.apache.tools.ant.taskdefs.optional.ejb.WeblogicTOPLinkDeploymentTool;0;22.5734482759;30.1292758621;11.8515292379;36.5263793103;28.4413793103;84.2068965517;18.0996688705;15.2;12.5570586207;4.78965517241;1.31724137931;58.0;5.0;0.551724137931;1389;382;290;160;5;1;76;38;111;9;5;0;2;0;8;0;0;1;0;0;0;0;0;0;2;W;No;0
src/tests/junit/org/apache/tools/ant/taskdefs/optional/junit/Sleeper.java;Sleeper;org.apache.tools.ant.taskdefs.optional.junit.Sleeper;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;3.0;2.0;2.0;0.0;0.0;org.apache.tools.ant.taskdefs.optional.junit.Sleeper;0;16.5191803279;22.9166120219;13.4492409344;49.0599726776;22.4961748634;74.2732240437;16.7840487521;13.6666666667;12.3837306011;5.09836065574;1.37704918033;40.6666666667;3.0;0.680327868852;622;168;122;83;3;1;41;19;52;2;2;0;1;0;3;0;0;0;0;0;0;0;0;0;6;W;No;0
src/tests/junit/org/apache/tools/ant/taskdefs/optional/AbstractXSLTLiaisonTest.java;AbstractXSLTLiaisonTest;org.apache.tools.ant.taskdefs.optional.AbstractXSLTLiaisonTest;0.0;0.0;1.0;1.0;1.0;8.0;0.0;8.0;3.0;0.0;0.0;1.0;0.0;8.0;0.0;1.0;10.0;0.0;0.0;0.0;0.0;-1.0;20.0;0.0;1.25;29.0;0.0;29.0;2.0;1.0;2.0;2.0;7.0;1.0;7.0;7.0;7.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;7.0;1.0;0.0;1.0;0.0;1.0;5.0;1.0;0.0;0.0;8.0;15.0;0.0;1.0;0.0;0.0;0.0;0.0;29.0;29.0;1.0;1.0;26.0;7.0;8.0;0.0;1.0;org.apache.tools.ant.taskdefs.optional.AbstractXSLTLiaisonTest;0;21.9039751553;29.4506625259;13.6679890559;33.6080538302;26.932505176;85.3436853002;17.8323969742;17.0;12.8693604555;5.10559006211;1.40372670807;53.6666666667;3.0;0.658385093168;822;226;161;106;3;1;51;22;67;4;2;0;1;0;3;0;0;0;0;0;0;0;0;0;5;W;No;0
src/main/org/apache/tools/ant/taskdefs/Length.java;Length;org.apache.tools.ant.taskdefs.Length;0.0;0.0;1.0;2.0;0.9999999999999998;14.0;0.0;14.0;14.0;0.0;0.0;1.0;0.0;14.0;0.0;1.0;21.0;0.0;0.0;0.0;4.0;-1.0;234.0;98.0;1.018181816736857;54.0;0.0;54.0;1.0;14.0;11.0;11.0;17.0;1.0;17.0;17.0;17.0;0.0;0.0;2.0;0.0;0.0;11.0;1.0;17.0;2.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;10.0;27.0;0.0;1.0;0.0;0.0;0.0;0.0;54.0;54.0;1.0;14.0;68.0;17.0;31.0;0.0427807486631016;1.0;org.apache.tools.ant.taskdefs.Length;0;49.1840106952;63.7984670232;12.5436004866;-35.5177094474;53.6099821747;149.265597148;21.7082869339;30.6666666667;16.7439238859;4.86096256684;1.36898395722;124.666666667;3.0;0.483957219251;1818;512;374;181;3;1;92;35;164;6;4;0;1;0;13;0;0;0;0;0;0;0;0;0;2;W;No;0
src/main/org/apache/tools/ant/util/FileUtils.java;FileUtils;org.apache.tools.ant.util.FileUtils;0.0;0.0;1.0;1.0;0.9999999999999996;172.0;0.0;172.0;56.0;0.0;0.0;0.6923076923076923;0.0;172.0;0.0;1.0;38.0;0.0;0.0;0.0;2.0;-6.0;3080.0;1484.0;1.0167832167311148;294.0;0.0;294.0;9.0;55.0;13.0;13.0;57.0;1.0;57.0;57.0;57.0;0.0;0.0;1.0;0.0;0.0;13.0;0.0;57.0;1.0;0.0;9.0;0.0;1.0;1.0;1.0;0.0;0.0;54.0;116.0;0.0;1.0;0.0;0.0;0.0;0.0;294.0;294.0;1.0;55.0;334.0;57.0;112.0;0.001349527665317139;1.0;org.apache.tools.ant.util.FileUtils;0;99.0833201233;126.400385293;11.1264078452;-165.883069133;105.873888155;272.104359313;33.5777697028;49.8888888889;22.6740387054;4.59951563188;1.37824746808;252.333333333;18.0;0.155878467635;20891;6260;4542;708;18;1;898;561;1876;217;130;0;9;1;139;0;1;1;0;0;0;0;0;0;368;W;No;0
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Sync.java;P4Sync;org.apache.tools.ant.taskdefs.optional.perforce.P4Sync;0.0;0.0;1.0;1.0;1.0;3.0;0.0;3.0;4.0;0.0;0.0;0.5;0.0;3.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;12.0;0.0;12.0;0.0;4.0;2.0;2.0;4.0;1.0;4.0;4.0;4.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;4.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;12.0;12.0;1.0;4.0;10.0;4.0;8.0;0.25;1.0;org.apache.tools.ant.taskdefs.optional.perforce.P4Sync;0;50.9631043257;66.9129007634;12.4898681781;-36.9925954198;56.1659033079;156.190839695;22.2353840617;33.0;19.3348888041;4.84987277354;1.31043256997;131.0;3.0;0.529262086514;1906;515;393;208;3;1;99;37;229;10;2;0;1;0;9;0;0;0;0;0;0;0;0;0;203;W;No;0
src/main/org/apache/tools/ant/taskdefs/rmic/DefaultRmicAdapter.java;DefaultRmicAdapter;org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter;0.0;0.0;1.0;2.0;1.0;9.0;0.0;9.0;5.0;0.0;0.0;0.3333333333333333;0.0;9.0;0.0;1.0;16.0;0.0;0.0;0.0;2.0;-5.0;110.0;44.0;1.1;78.0;0.0;78.0;1.0;18.0;9.0;9.0;12.0;1.0;12.0;12.0;12.0;0.0;0.0;2.0;0.0;0.0;9.0;0.0;12.0;2.0;0.0;1.0;0.0;1.0;7.0;1.0;0.0;0.0;5.0;17.0;0.0;1.0;0.0;0.0;0.0;0.0;78.0;78.0;1.0;18.0;31.0;12.0;30.0;0.0;1.0;org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter;0;81.3088311688;104.289669913;12.8339182808;-122.160800866;87.7826839827;228.872294372;32.4957624075;48.3333333333;21.126471645;4.89448051948;1.42532467532;205.333333333;3.0;0.407467532468;3015;878;616;251;3;1;145;87;285;13;13;0;1;0;15;0;0;0;1;1;0;0;0;0;15;W;MayBe;1
src/main/org/apache/tools/ant/types/resources/ZipResource.java;ZipResource;org.apache.tools.ant.types.resources.ZipResource;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;10.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;10.0;0.0;0.0;0.0;5.0;-5.0;90.0;24.0;1.1111111111111112;46.0;0.0;46.0;0.0;7.0;1.0;1.0;12.0;1.0;12.0;12.0;12.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;12.0;1.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;14.0;0.0;1.0;0.0;0.0;0.0;0.0;46.0;46.0;1.0;7.0;27.0;12.0;19.0;0.0;1.0;org.apache.tools.ant.types.resources.ZipResource;0;43.0222910217;56.2449742002;13.6877240031;-21.6200412797;47.7725490196;138.626418989;22.4935886896;33.3333333333;15.9185004128;5.06191950464;1.40866873065;107.666666667;3.0;0.473684210526;1635;455;323;153;3;1;100;38;142;6;5;0;1;0;13;0;0;0;0;0;0;0;0;0;1;W;No;0
src/main/org/apache/tools/ant/taskdefs/optional/ejb/DescriptorHandler.java;DescriptorHandler;org.apache.tools.ant.taskdefs.optional.ejb.DescriptorHandler;0.0;0.0;1.0;1.0;1.0;38.0;0.0;38.0;10.0;0.0;0.0;1.0;0.0;38.0;0.0;1.0;15.0;0.0;0.0;0.0;1.0;-2.0;88.0;33.0;1.0808080799049802;87.0;0.0;87.0;9.0;28.0;33.0;33.0;11.0;1.0;11.0;11.0;11.0;0.0;0.0;1.0;0.0;0.0;33.0;0.0;11.0;1.0;0.0;3.0;0.0;1.0;5.0;1.0;0.0;0.0;12.0;23.0;0.0;1.0;0.0;0.0;0.0;0.0;87.0;87.0;1.0;28.0;69.0;11.0;39.0;0.0440771349862259;1.0;org.apache.tools.ant.taskdefs.optional.ejb.DescriptorHandler;0;23.570295858;29.8741932939;12.5583111491;26.4109861933;28.8765285996;84.1439842209;19.3707055437;15.6666666667;13.3445978304;4.9124260355;1.45680473373;56.3333333333;15.0;0.404733727811;4151;1231;845;342;15;1;235;134;370;30;9;0;4;1;45;0;1;1;0;0;0;0;0;0;385;W;No;0
src/main/org/apache/tools/ant/taskdefs/optional/depend/Depend.java;Depend;org.apache.tools.ant.taskdefs.optional.depend.Depend;0.0;0.0;1.0;1.0;0.9999999999999999;139.0;0.0;139.0;12.0;0.0;0.0;1.0;0.0;139.0;0.0;1.0;22.0;0.0;0.0;0.0;5.0;-6.0;622.0;271.0;0.9914285692572594;303.0;0.0;303.0;3.0;58.0;14.0;14.0;27.0;1.0;27.0;27.0;27.0;0.0;0.0;1.0;0.0;0.0;14.0;0.0;27.0;1.0;0.0;3.0;0.0;1.0;1.0;1.0;0.0;0.0;35.0;65.0;0.0;1.0;0.0;0.0;0.0;0.0;303.0;303.0;1.0;58.0;223.0;27.0;85.0;0.06878306878306878;1.0;org.apache.tools.ant.taskdefs.optional.depend.Depend;0;61.784738791;79.2774559648;12.2791055396;-69.8280319255;67.6701761409;178.542934347;27.7234706302;35.0;16.9933984788;4.80784627702;1.39711769416;156.125;8.0;0.294635708567;6005;1745;1249;368;8;1;280;163;444;51;19;0;2;0;23;0;1;0;0;0;0;0;0;0;10;W;No;0
