File;Class;Entity;ACAIC;ACMIC;AID;ANA;CAM;CBO;CBOin;CBOout;CIS;CLD;CP;DAM;DCAEC;DCC;DCMEC;DIT;DSC;EIC;EIP;FanOut;ICHClass;IR;LCOM1;LCOM2;LCOM5;LOC;MFA;MLOCsum;MOA;McCabe;NAD;NADExtended;NCM;NCP;NMA;NMD;NMDExtended;NMI;NMO;NOA;NOC;NOD;NOF;NOH;NOM;NOP;NOPM;NOParam;NOTC;NOTI;NPrM;PIIR;PP;REIP;RFC;RFC_New;RFP;RPII;RRFP;RRTP;RTP;SIX;TLOC;TestCaseLOC;USELESS;VGsum;WMC;WMC1;WMC_New;cohesionAttributes;connectivity;Entities;NAP;Kincaid;ARI;Coleman-Liau;FleschReadingEase;GunningFogIndex;LIX;SMOGIndex;RIX;DaleChallIndex;characters_per_word;syll_per_word;words_per_sentence;sentences_per_paragraph;type_token_ratio;characters;syllables;words;wordtypes;sentences;paragraphs;long_words;complex_words;complex_words_dc;tobeverb;auxverb;conjunction;pronoun;preposition;nominalization;interrogative;article;subordination;Tot;D;B;M;I;T;W;C;MSATDTag;MSATDNum
argouml/src/argouml-app/src/org/argouml/uml/ui/UMLScriptExpressionModel.java;UMLScriptExpressionModel;org.argouml.uml.ui.UMLScriptExpressionModel;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;-3.0;6.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;4.0;1.0;4.0;4.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;3.0;1.0;0.0;4.0;4.0;4.0;0.0;3.0;org.argouml.uml.ui.UMLScriptExpressionModel;0;9.59612600166;19.9663995579;16.2193319179;79.5344155844;16.8268582481;68.5109146173;13.4446593573;11.5454545455;13.2789574744;5.61398176292;1.14589665653;29.9090909091;11.0;0.617021276596;1847;377;329;203;11;1;127;40;170;14;2;0;2;1;8;0;5;0;0;0;0;0;0;0;39;W;No;0
argouml/src/argouml-app/src/org/argouml/ui/explorer/rules/GoProfileToCritics.java;GoProfileToCritics;org.argouml.ui.explorer.rules.GoProfileToCritics;0.0;0.0;1.0;1.0;1.0;2.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;6.0;0.0;0.0;0.0;0.0;-1.0;6.0;0.0;0.0;10.0;0.0;10.0;0.0;1.0;0.0;0.0;4.0;1.0;4.0;4.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;10.0;10.0;1.0;1.0;9.0;4.0;5.0;0.0;3.0;org.argouml.ui.explorer.rules.GoProfileToCritics;0;9.90376464027;19.5387953151;15.8466506933;76.8430479643;16.5171221417;68.2866703848;13.1801946758;11.4545454545;13.2920771333;5.55214723926;1.18098159509;29.6363636364;11.0;0.613496932515;1810;385;326;200;11;1;126;38;169;14;2;0;2;1;8;0;5;0;0;0;0;0;0;0;222;W;No;0
argouml/src/argouml-app/src/org/argouml/uml/cognitive/critics/CrDisambigClassName.java;CrDisambigClassName;org.argouml.uml.cognitive.critics.CrDisambigClassName;0.0;0.0;1.0;1.0;1.0;10.0;0.0;10.0;5.0;0.0;0.0;0.0;0.0;10.0;0.0;1.0;10.0;0.0;0.0;0.0;0.0;-3.0;12.0;2.0;0.0;42.0;0.0;42.0;0.0;10.0;0.0;0.0;5.0;1.0;5.0;5.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;5.0;10.0;0.0;1.0;0.0;0.0;0.0;0.0;42.0;42.0;1.0;10.0;15.0;5.0;15.0;0.0;2.0;org.argouml.uml.cognitive.critics.CrDisambigClassName;0;12.5553508772;21.3730668016;14.895426057;67.5227125506;18.9430499325;71.2611336032;14.3679712012;12.6923076923;13.7214688934;5.36403508772;1.22587719298;35.0769230769;13.0;0.603070175439;2446;559;456;275;13;1;165;56;241;19;2;0;2;1;12;0;5;0;0;0;0;0;0;0;120;W;No;0
argouml/src/argouml-app/src/org/argouml/ui/explorer/rules/InheritanceNode.java;InheritanceNode;org.argouml.ui.explorer.rules.InheritanceNode;0.0;2.0;1.0;2.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;-3.0;6.0;0.0;1.5;3.0;0.0;3.0;0.0;0.0;1.0;1.0;4.0;1.0;4.0;4.0;4.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;4.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;3.0;1.0;0.0;4.0;4.0;4.0;0.0;3.0;org.argouml.ui.explorer.rules.InheritanceNode;0;10.0571886937;19.6270206264;14.2844046891;80.7625439267;16.6792971734;67.188439012;12.4868329805;11.2727272727;13.0306712249;5.27170868347;1.10084033613;32.4545454545;11.0;0.638655462185;1882;393;357;228;11;1;124;33;176;15;2;0;2;1;10;0;5;0;0;0;0;0;0;0;6;W;No;0
argouml/src/argouml-app/src/org/argouml/ui/explorer/PerspectiveComboBox.java;PerspectiveComboBox;org.argouml.ui.explorer.PerspectiveComboBox;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;-3.0;2.0;0.0;0.0;2.0;0.5;2.0;0.0;0.0;0.0;0.0;6.0;1.0;3.0;3.0;3.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;6.0;3.0;3.0;0.0;0.0;org.argouml.ui.explorer.PerspectiveComboBox;0;10.3683333333;19.3965;15.4541363167;74.16;16.4444444444;66.9444444444;13.0;11.0833333333;12.9756388889;5.48333333333;1.20833333333;30.0;12.0;0.622222222222;1974;435;360;224;12;1;133;40;179;18;3;0;3;1;9;0;5;0;0;0;0;0;0;0;3;W;No;0
argouml/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLTimeExpressionModel.java;UMLTimeExpressionModel;org.argouml.core.propertypanels.ui.UMLTimeExpressionModel;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;-2.0;6.0;0.0;1.5;8.0;0.0;8.0;1.0;1.0;1.0;1.0;4.0;1.0;4.0;4.0;4.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;4.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;8.0;8.0;1.0;1.0;5.0;4.0;5.0;0.0;3.0;org.argouml.core.propertypanels.ui.UMLTimeExpressionModel;0;9.0622616408;19.3410116408;15.4923410335;83.2000332594;16.0736141907;66.7084257206;12.6295001286;11.0;12.9623415743;5.49085365854;1.10365853659;29.8181818182;11.0;0.625;1801;362;328;205;11;1;121;34;163;14;2;0;2;1;9;0;5;0;0;0;0;0;0;0;43;W;No;0
argouml/src/argouml-app/src/org/argouml/ui/explorer/rules/GoModelToBaseElements.java;GoModelToBaseElements;org.argouml.ui.explorer.rules.GoModelToBaseElements;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0;0.0;0.0;-1.0;6.0;0.0;0.0;14.0;0.0;14.0;0.0;3.0;0.0;0.0;4.0;1.0;4.0;4.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;14.0;14.0;1.0;3.0;8.0;4.0;7.0;0.0;3.0;org.argouml.ui.explorer.rules.GoModelToBaseElements;0;9.58357954545;19.3589857955;15.9439280406;78.1671022727;16.1363636364;67.8409090909;12.9086738861;11.2727272727;13.1717840909;5.571875;1.171875;29.0909090909;11.0;0.6125;1783;375;320;196;11;1;124;36;164;14;2;0;2;1;8;0;5;0;0;0;0;0;0;0;204;W;No;0
argouml/src/argouml-app/src/org/argouml/uml/cognitive/critics/WizMEName.java;WizMEName;org.argouml.uml.cognitive.critics.WizMEName;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;7.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;-5.0;42.0;14.0;1.1388888880610466;27.0;0.0;27.0;2.0;506.0;6.0;6.0;8.0;1.0;8.0;8.0;8.0;0.0;0.0;1.0;0.0;0.0;6.0;1.0;8.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;9.0;0.0;1.0;0.0;0.0;0.0;0.0;27.0;27.0;1.0;506.0;10.0;8.0;514.0;0.020833333333333332;1.0;org.argouml.uml.cognitive.critics.WizMEName;0;11.8829137529;21.211965035;14.4675871103;73.0163286713;18.7972027972;70.3263403263;14.0782341881;12.3636363636;13.1280967366;5.28974358974;1.15641025641;35.4545454545;11.0;0.607692307692;2063;451;390;237;11;1;136;45;191;16;3;0;2;1;11;0;5;0;0;0;0;0;0;0;9;W;No;0
argouml/src/argouml-app/src/org/argouml/uml/diagram/ui/FigStereotypesGroup.java;FigStereotypesGroup;org.argouml.uml.diagram.ui.FigStereotypesGroup;0.0;0.0;1.0;1.0;1.0;6.0;0.0;6.0;9.0;0.0;0.0;1.0;0.0;6.0;0.0;1.0;15.0;0.0;0.0;0.0;12.0;-8.0;306.0;135.0;1.0588235294117647;140.0;0.0;140.0;4.0;27.0;5.0;5.0;19.0;1.0;19.0;19.0;19.0;0.0;0.0;1.0;0.0;0.0;5.0;0.0;19.0;1.0;0.0;4.0;0.0;1.0;2.0;1.0;0.0;0.0;10.0;29.0;0.0;1.0;0.0;0.0;0.0;0.0;140.0;140.0;1.0;27.0;55.0;19.0;46.0;0.0;1.0;org.argouml.uml.diagram.ui.FigStereotypesGroup;0;18.4069984478;26.1839865477;13.2317262584;48.0919386237;24.2576898202;77.5243176821;16.6014705087;14.2222222222;13.0989122106;5.04307334109;1.30384167637;47.7222222222;18.0;0.476135040745;4332;1120;859;409;18;1;256;111;386;39;9;0;4;1;23;0;9;0;6;6;0;0;0;0;25;W;Yes;2
argouml/src/argouml-app/src/org/argouml/cognitive/ui/ToDoByPriority.java;ToDoByPriority;org.argouml.cognitive.ui.ToDoByPriority;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;-1.0;12.0;2.0;1.3333333333333333;67.0;0.0;67.0;1.0;8.0;1.0;1.0;5.0;1.0;5.0;5.0;5.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;5.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;67.0;67.0;1.0;8.0;10.0;5.0;13.0;0.0;2.0;org.argouml.cognitive.ui.ToDoByPriority;0;12.4991889743;22.2561277498;18.3237297201;60.987786907;18.187012987;74.622051418;14.5601195338;13.5454545455;13.6535554996;5.96501457726;1.34985422741;31.1818181818;11.0;0.588921282799;2046;463;343;202;11;1;149;49;184;14;2;0;2;1;9;0;5;0;0;0;0;0;0;0;40;W;No;0
argouml/src/argouml-app/src/org/argouml/cognitive/ui/ToDoByPoster.java;ToDoByPoster;org.argouml.cognitive.ui.ToDoByPoster;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;-1.0;12.0;2.0;1.3333333333333333;71.0;0.0;71.0;1.0;8.0;1.0;1.0;5.0;1.0;5.0;5.0;5.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;5.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;71.0;71.0;1.0;8.0;10.0;5.0;13.0;0.0;2.0;org.argouml.cognitive.ui.ToDoByPoster;0;11.9535746849;21.7389139179;17.8938338112;64.2518905873;17.7550013408;73.5910431751;14.2006493318;13.1818181818;13.6888871279;5.89380530973;1.31563421829;30.8181818182;11.0;0.587020648968;1998;446;339;199;11;1;145;46;183;14;2;0;2;1;9;0;5;0;0;0;0;0;0;0;35;W;No;0
argouml/src/argouml-app/src/org/argouml/ui/explorer/rules/GoClassToSummary.java;GoClassToSummary;org.argouml.ui.explorer.rules.GoClassToSummary;0.0;0.0;1.0;1.0;1.0;12.0;0.0;12.0;4.0;0.0;0.0;0.0;0.0;12.0;0.0;1.0;14.0;0.0;0.0;0.0;0.0;-1.0;30.0;9.0;0.0;54.0;0.0;54.0;0.0;14.0;0.0;0.0;7.0;1.0;7.0;7.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;7.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;10.0;0.0;1.0;0.0;0.0;0.0;0.0;54.0;54.0;1.0;14.0;38.0;7.0;21.0;0.0;1.0;org.argouml.ui.explorer.rules.GoClassToSummary;0;11.8444988973;21.4846336682;15.8433851429;70.2152952708;18.3426611125;71.4631217839;14.0782341881;12.7272727273;13.523577579;5.53099730458;1.2102425876;33.7272727273;11.0;0.576819407008;2052;449;371;214;11;1;140;45;193;19;2;0;2;1;13;0;5;0;0;0;0;0;0;0;220;W;No;0
argouml/src/argouml-app/src/org/argouml/kernel/ProjectSettings.java;ProjectSettings;org.argouml.kernel.ProjectSettings;0.0;0.0;1.0;1.0;1.0000000000000007;41.0;0.0;41.0;68.0;0.0;0.0;1.0;0.0;41.0;0.0;1.0;13.0;0.0;0.0;0.0;15.0;-31.0;5256.0;2481.0;1.0138888888888888;169.0;0.0;169.0;2.0;15.0;5.0;5.0;75.0;1.0;75.0;75.0;75.0;0.0;0.0;1.0;0.0;0.0;5.0;0.0;75.0;1.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;18.0;96.0;0.0;1.0;0.0;0.0;0.0;0.0;169.0;169.0;1.0;15.0;175.0;75.0;90.0;0.0;1.0;org.argouml.kernel.ProjectSettings;0;12.2258090615;16.1237497303;12.1875653243;58.3690911543;15.9298813376;55.6014023732;12.8107084352;7.72222222222;13.2802081985;4.9359223301;1.41165048544;28.6111111111;72.0;0.217961165049;10168;2908;2060;449;72;1;556;231;1073;85;5;1;4;2;50;1;5;1;3;3;0;0;0;0;45;D;Yes;2
argouml/src/argouml-app/src/org/argouml/cognitive/checklist/ui/TabChecklist.java;TabChecklist;org.argouml.cognitive.checklist.ui.TabChecklist;0.0;0.0;1.0;4.0;0.9999999999999998;22.0;1.0;21.0;15.0;0.0;0.0;1.0;0.0;22.0;0.0;1.0;28.0;0.0;0.0;1.0;1.0;-7.0;240.0;104.0;1.0333333333333334;45.0;0.0;45.0;2.0;7.0;4.0;4.0;17.0;2.0;17.0;17.0;17.0;0.0;0.0;5.0;0.0;0.0;4.0;0.0;17.0;5.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;15.0;32.0;0.0;1.0;0.0;0.0;0.0;0.0;45.0;45.0;1.0;7.0;57.0;17.0;24.0;0.22058823529411764;1.0;org.argouml.cognitive.checklist.ui.TabChecklist;1;24.9224185517;34.135924029;16.7973866385;19.8473751601;28.3067861716;92.3632095604;17.8630108292;19.9090909091;15.4135837388;5.63067292645;1.51330203443;58.0909090909;11.0;0.478873239437;3598;967;639;306;11;1;219;81;360;23;3;0;2;1;18;0;5;0;0;0;0;0;0;0;356;W;No;0
argouml/src/argouml-app/src/org/argouml/ui/explorer/ActionDeployProfile.java;ActionDeployProfile;org.argouml.ui.explorer.ActionDeployProfile;0.0;0.0;1.0;1.0;1.0;19.0;0.0;19.0;2.0;0.0;0.0;1.0;0.0;19.0;0.0;1.0;14.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;36.0;0.0;36.0;1.0;6.0;2.0;2.0;3.0;1.0;3.0;3.0;3.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;3.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;16.0;21.0;0.0;1.0;0.0;0.0;0.0;0.0;36.0;36.0;1.0;6.0;27.0;3.0;9.0;0.0;0.0;org.argouml.ui.explorer.ActionDeployProfile;0;12.545506993;20.9062587413;13.9084283263;68.7921066434;18.6822843823;70.715034965;13.8397416943;12.5;12.8078118881;5.19347319347;1.2027972028;35.75;12.0;0.587412587413;2228;516;429;252;12;1;150;47;201;19;4;0;2;1;10;0;5;0;0;0;0;0;0;0;5;W;No;0
argouml/src/argouml-app/src/org/argouml/uml/diagram/ui/ModeCreateGraphEdge.java;ModeCreateGraphEdge;org.argouml.uml.diagram.ui.ModeCreateGraphEdge;0.0;0.0;1.0;1.0;1.0;4.0;0.0;4.0;3.0;0.0;0.0;1.0;0.0;4.0;0.0;1.0;10.0;0.0;0.0;0.0;0.0;-3.0;12.0;0.0;1.3333333333333333;104.0;0.0;104.0;2.0;20.0;2.0;2.0;6.0;1.0;6.0;6.0;6.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;6.0;1.0;0.0;4.0;0.0;1.0;3.0;1.0;0.0;0.0;6.0;12.0;0.0;1.0;0.0;0.0;0.0;0.0;104.0;104.0;1.0;20.0;25.0;6.0;26.0;0.0;2.0;org.argouml.uml.diagram.ui.ModeCreateGraphEdge;0;16.2308269598;24.9203091141;14.1787491874;56.3221996495;21.7927979605;74.9408859146;14.9373363863;13.6666666667;12.8327840025;5.21414913958;1.25621414914;43.5833333333;12.0;0.529636711281;2727;657;523;277;12;1;164;57;233;19;7;0;2;1;16;0;5;0;0;0;0;0;0;0;16;W;No;0
argouml/src/argouml-app/src/org/argouml/persistence/DiagramMemberFilePersister.java;DiagramMemberFilePersister;org.argouml.persistence.DiagramMemberFilePersister;0.0;0.0;1.0;1.0;1.0;4.0;0.0;4.0;7.0;0.0;0.0;1.0;0.0;4.0;0.0;1.0;15.0;0.0;0.0;0.0;0.0;-1.0;28.0;7.0;1.0666666626930237;33.0;0.0;33.0;1.0;1.0;3.0;3.0;7.0;1.0;7.0;7.0;7.0;0.0;0.0;1.0;0.0;0.0;3.0;1.0;7.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;5.0;12.0;0.0;1.0;0.0;0.0;0.0;0.0;33.0;33.0;1.0;1.0;25.0;7.0;8.0;0.09523809523809523;1.0;org.argouml.persistence.DiagramMemberFilePersister;0;10.2368292683;19.0724746717;14.1374510317;77.8429737336;17.200750469;65.1969981238;13.4144869514;10.6153846154;12.5566369606;5.2512195122;1.14634146341;31.5384615385;13.0;0.607317073171;2153;470;410;249;13;1;138;47;191;16;3;0;3;1;10;0;5;1;2;0;1;0;1;0;0;B;Yes;2
argouml/src/argouml-app/src/org/argouml/gefext/ArgoFigCircle.java;ArgoFigCircle;org.argouml.gefext.ArgoFigCircle;0.0;0.0;1.0;2.0;1.0;5.0;0.0;5.0;6.0;0.0;0.0;1.0;0.0;5.0;0.0;1.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;7.0;0.0;0.0;1.0;1.0;6.0;1.0;6.0;6.0;6.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;6.0;2.0;0.0;4.0;0.0;1.0;0.0;1.0;0.0;0.0;4.0;11.0;0.0;1.0;0.0;0.0;0.0;0.0;7.0;7.0;1.0;0.0;12.0;6.0;6.0;0.8333333333333334;0.0;org.argouml.gefext.ArgoFigCircle;0;13.8559223817;23.0227352472;19.334714038;51.0987799043;17.6995215311;71.1493886231;14.0782341881;12.4545454545;13.6738137693;6.13742690058;1.46783625731;31.0909090909;11.0;0.59649122807;2099;502;342;204;11;1;137;45;184;14;2;0;2;1;18;0;5;0;0;0;0;0;0;0;43;W;No;0
argouml/src/argouml-app/src/org/argouml/uml/diagram/deployment/ui/UMLDeploymentDiagram.java;UMLDeploymentDiagram;org.argouml.uml.diagram.deployment.ui.UMLDeploymentDiagram;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;11.0;0.0;0.0;0.95;0.0;0.0;0.0;1.0;26.0;0.0;0.0;0.0;17.0;-5.0;870.0;374.0;1.0344827586206897;140.0;0.0;140.0;20.0;44.0;20.0;20.0;32.0;1.0;32.0;32.0;32.0;0.0;0.0;2.0;0.0;0.0;20.0;0.0;32.0;2.0;0.0;3.0;0.0;1.0;19.0;1.0;0.0;0.0;18.0;50.0;0.0;1.0;0.0;0.0;0.0;0.0;140.0;140.0;1.0;44.0;102.0;32.0;76.0;0.0;1.0;org.argouml.uml.diagram.deployment.ui.UMLDeploymentDiagram;0;19.9137713459;28.5137240714;17.1512112648;34.3404302943;24.5048142788;83.2591413411;17.4913767462;17.1333333333;14.5590622383;5.71345875543;1.48625180897;46.0666666667;15.0;0.483357452967;3948;1027;691;334;15;1;257;105;378;23;4;0;3;1;29;0;5;0;2;2;0;0;0;0;30;W;Yes;2
argouml-cpp/src/org/argouml/language/cpp/notation/OperationNotationCpp.java;OperationNotationCpp;org.argouml.language.cpp.notation.OperationNotationCpp;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;-3.0;6.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;4.0;1.0;4.0;4.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;4.0;4.0;4.0;0.0;3.0;org.argouml.language.cpp.notation.OperationNotationCpp;0;14.418289829;23.7013591359;16.8097846535;57.1058280828;20.3344734473;75.0936093609;15.4681412189;14.0909090909;13.9394351035;5.68316831683;1.32920792079;36.7272727273;11.0;0.556930693069;2296;537;404;225;11;1;155;57;217;15;2;0;2;1;25;0;5;0;0;0;0;0;0;0;22;W;No;0
argouml/src/argouml-app/src/org/argouml/cognitive/ToDoItem.java;ToDoItem;org.argouml.cognitive.ToDoItem;0.0;3.0;1.0;3.0;0.9999999999999998;3.0;0.0;3.0;27.0;0.0;0.0;0.7142857142857143;0.0;3.0;0.0;1.0;15.0;0.0;0.0;0.0;11.0;-18.0;552.0;146.0;1.0434782608695652;60.0;0.03333333333333333;60.0;8.0;15.0;14.0;14.0;30.0;1.0;29.0;29.0;29.0;1.0;0.0;3.0;0.0;0.0;14.0;0.0;29.0;3.0;0.0;6.0;0.0;1.0;1.0;1.0;0.0;0.0;9.0;38.0;0.0;1.0;0.0;0.0;0.0;0.0;60.0;60.0;1.0;15.0;53.0;29.0;44.0;0.0;1.0;org.argouml.cognitive.ToDoItem;0;18.2814584192;24.7323453608;12.1295013308;46.9219608247;23.4693608247;72.1613745704;16.0076900332;11.92;13.271133732;4.85824742268;1.33161512027;46.56;25.0;0.401202749141;5655;1550;1164;467;25;1;298;141;540;46;23;0;4;3;17;0;8;1;3;1;0;0;2;0;68;W;MayBe;1
