File;Class;Entity;ACAIC;ACMIC;AID;ANA;CAM;CBO;CBOin;CBOout;CIS;CLD;CP;DAM;DCAEC;DCC;DCMEC;DIT;DSC;EIC;EIP;FanOut;ICHClass;IR;LCOM1;LCOM2;LCOM5;LOC;MFA;MLOCsum;MOA;McCabe;NAD;NADExtended;NCM;NCP;NMA;NMD;NMDExtended;NMI;NMO;NOA;NOC;NOD;NOF;NOH;NOM;NOP;NOPM;NOParam;NOTC;NOTI;NPrM;PIIR;PP;REIP;RFC;RFC_New;RFP;RPII;RRFP;RRTP;RTP;SIX;TLOC;TestCaseLOC;USELESS;VGsum;WMC;WMC1;WMC_New;cohesionAttributes;connectivity;Entities;NAP;Kincaid;ARI;Coleman-Liau;FleschReadingEase;GunningFogIndex;LIX;SMOGIndex;RIX;DaleChallIndex;characters_per_word;syll_per_word;words_per_sentence;sentences_per_paragraph;type_token_ratio;characters;syllables;words;wordtypes;sentences;paragraphs;long_words;complex_words;complex_words_dc;tobeverb;auxverb;conjunction;pronoun;preposition;nominalization;interrogative;article;subordination;Tot;D;B;M;I;T;W;C;MSATDTag;MSATDNum
source/org/jfree/chart/annotations/XYDataImageAnnotation.java;XYDataImageAnnotation;org.jfree.chart.annotations.XYDataImageAnnotation;0.0;0.0;1.0;4.0;0.9999999999999999;4.0;0.0;4.0;14.0;0.0;0.0;1.0;0.0;4.0;0.0;1.0;19.0;0.0;0.0;0.0;0.0;-7.0;182.0;62.0;1.064102563720483;60.0;0.0;60.0;5.0;12.0;6.0;6.0;16.0;1.0;16.0;16.0;16.0;0.0;0.0;4.0;0.0;0.0;6.0;0.0;16.0;4.0;0.0;7.0;0.0;1.0;0.0;1.0;0.0;0.0;6.0;22.0;0.0;1.0;0.0;0.0;0.0;0.0;60.0;60.0;1.0;12.0;28.0;16.0;28.0;0.010416666666666666;1.0;org.jfree.chart.annotations.XYDataImageAnnotation;0;73.4414227642;94.3317073171;13.3902826721;-102.861768293;78.0818428184;209.025745257;27.3413228893;45.25;21.153404607;4.9918699187;1.44715447154;184.5;4.0;0.363143631436;3684;1068;738;268;4;1;181;79;391;20;11;0;1;0;27;0;0;0;1;1;0;0;0;0;11;W;MayBe;1
source/org/jfree/chart/fx/interaction/AbstractMouseHandlerFX.java;AbstractMouseHandlerFX;org.jfree.chart.fx.interaction.AbstractMouseHandlerFX;0.0;0.0;1.0;2.0;0.9999999999999998;0.0;0.0;0.0;11.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0;0.0;0.0;-9.0;90.0;35.0;1.1111111111111112;9.0;0.0;9.0;5.0;0.0;6.0;6.0;11.0;1.0;11.0;11.0;11.0;0.0;0.0;2.0;0.0;0.0;6.0;0.0;11.0;2.0;0.0;5.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;11.0;0.0;1.0;0.0;0.0;0.0;0.0;9.0;9.0;1.0;0.0;13.0;11.0;11.0;0.0;1.0;org.jfree.chart.fx.interaction.AbstractMouseHandlerFX;0;26.6035987461;34.1085893417;13.2452933386;17.9626394984;30.849153605;93.4238244514;18.9687194227;18.9;15.2899611912;5.01880877743;1.4670846395;63.8;10.0;0.365203761755;3202;936;638;233;10;1;189;85;343;14;6;0;7;0;10;0;1;0;0;0;0;0;0;0;36;W;No;0
source/org/jfree/chart/renderer/xy/StackedXYAreaRenderer2.java;StackedXYAreaRenderer2;org.jfree.chart.renderer.xy.StackedXYAreaRenderer2;0.0;0.0;1.0;4.0;0.9999999999999999;11.0;0.0;11.0;9.0;0.0;0.0;1.0;0.0;11.0;0.0;1.0;26.0;0.0;0.0;0.0;0.0;-7.0;90.0;24.0;1.1111111111111112;189.0;0.0;189.0;2.0;29.0;2.0;2.0;12.0;1.0;12.0;12.0;12.0;0.0;0.0;4.0;0.0;0.0;2.0;0.0;12.0;4.0;0.0;12.0;0.0;1.0;0.0;1.0;0.0;0.0;11.0;25.0;0.0;1.0;0.0;0.0;0.0;0.0;189.0;189.0;1.0;29.0;103.0;12.0;41.0;0.0;1.0;org.jfree.chart.renderer.xy.StackedXYAreaRenderer2;0;60.4071802002;77.7072784575;14.2381587286;-71.1577354468;65.2281053022;175.751019651;27.3926218353;38.8333333333;19.2881665925;5.14238042269;1.48832035595;149.833333333;6.0;0.416017797553;4623;1338;899;374;6;1;233;119;468;20;11;0;1;0;13;1;1;0;0;0;0;0;0;0;65;W;No;0
source/org/jfree/data/gantt/TaskSeriesCollection.java;TaskSeriesCollection;org.jfree.data.gantt.TaskSeriesCollection;0.0;0.0;1.0;5.0;1.0000000000000004;12.0;0.0;12.0;36.0;0.0;0.0;1.0;0.0;12.0;0.0;1.0;16.0;0.0;0.0;0.0;5.0;-1.0;970.0;304.0;0.8190476128033229;166.0;0.0;166.0;1.0;23.0;3.0;3.0;37.0;1.0;37.0;37.0;37.0;0.0;0.0;5.0;0.0;0.0;3.0;0.0;37.0;5.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;13.0;51.0;0.0;1.0;0.0;0.0;0.0;0.0;166.0;166.0;1.0;23.0;153.0;37.0;60.0;0.26126126126126126;0.0;org.jfree.data.gantt.TaskSeriesCollection;0;78.0321588946;99.1528238342;14.1103135225;-120.635647668;82.1395509499;216.920552677;29.7394839142;46.1666666667;20.6406903282;5.11312607945;1.55526770294;193.0;6.0;0.235751295337;5921;1801;1158;273;6;1;277;143;545;10;5;0;3;1;22;0;0;0;0;0;0;0;0;0;14;W;No;0
source/org/jfree/chart/labels/HighLowItemLabelGenerator.java;HighLowItemLabelGenerator;org.jfree.chart.labels.HighLowItemLabelGenerator;0.0;1.0;1.0;6.0;1.0;28.0;0.0;28.0;7.0;0.0;0.0;1.0;0.0;28.0;0.0;1.0;16.0;0.0;0.0;0.0;0.0;-2.0;14.0;0.0;0.7499999850988388;47.0;0.0;47.0;1.0;14.0;3.0;3.0;7.0;1.0;7.0;7.0;7.0;0.0;0.0;6.0;0.0;0.0;3.0;0.0;7.0;6.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;8.0;17.0;0.0;1.0;0.0;0.0;0.0;0.0;47.0;47.0;1.0;14.0;52.0;7.0;21.0;0.42857142857142855;1.0;org.jfree.chart.labels.HighLowItemLabelGenerator;0;62.9014004376;80.5746754194;16.2605190131;-84.5872720642;65.7473377097;184.937272064;26.4520787991;49.6666666667;20.348360248;5.48577680525;1.6170678337;152.333333333;3.0;0.514223194748;2507;739;457;235;3;1;149;55;265;9;6;0;0;0;6;0;1;0;2;2;0;0;0;0;0;D;MayBe;1
source/org/jfree/chart/editor/DefaultNumberAxisEditor.java;DefaultNumberAxisEditor;org.jfree.chart.editor.DefaultNumberAxisEditor;0.0;0.0;1.0;2.0;1.0;9.0;0.0;9.0;6.0;0.0;0.0;1.0;0.0;9.0;0.0;1.0;26.0;0.0;0.0;0.0;3.0;-1.0;24.0;3.0;0.9;41.0;0.0;41.0;1.0;5.0;2.0;2.0;7.0;1.0;7.0;7.0;7.0;0.0;0.0;2.0;0.0;0.0;2.0;2.0;7.0;2.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;15.0;22.0;0.0;1.0;0.0;0.0;0.0;0.0;41.0;41.0;1.0;5.0;56.0;7.0;12.0;0.6428571428571429;1.0;org.jfree.chart.editor.DefaultNumberAxisEditor;0;57.49;74.7618661972;15.439756243;-64.195;60.6028169014;173.690140845;23.1246117975;45.0;18.8526929577;5.3485915493;1.5;142.0;2.0;0.630281690141;1519;426;284;179;2;1;90;27;147;6;5;0;0;0;3;0;0;0;0;0;0;0;0;0;3;W;No;0
tests/org/jfree/data/xy/VectorSeriesCollectionTest.java;VectorSeriesCollectionTest;org.jfree.data.xy.VectorSeriesCollectionTest;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;20.0;5.0;0.0;48.0;0.0;48.0;0.0;0.0;0.0;0.0;6.0;1.0;6.0;6.0;6.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;48.0;48.0;1.0;0.0;18.0;6.0;6.0;0.0;1.0;org.jfree.data.xy.VectorSeriesCollectionTest;0;50.2718699187;65.7452439024;16.0110075081;-46.2856097561;52.9398373984;155.520325203;21.574175621;40.0;17.7606739837;5.4512195122;1.5162601626;123.0;2.0;0.654471544715;1341;373;246;161;2;1;80;23;125;5;6;0;0;0;5;0;0;0;0;0;0;0;0;0;42;W;No;0
source/org/jfree/chart/needle/LineNeedle.java;LineNeedle;org.jfree.chart.needle.LineNeedle;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;11.0;0.0;0.0;0.0;0.0;-3.0;12.0;2.0;1.3333333333333333;15.0;0.0;15.0;1.0;3.0;1.0;1.0;5.0;1.0;5.0;5.0;5.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;5.0;3.0;0.0;4.0;0.0;1.0;1.0;1.0;0.0;0.0;5.0;10.0;0.0;1.0;0.0;0.0;0.0;0.0;15.0;15.0;1.0;3.0;11.0;5.0;8.0;0.0;2.0;org.jfree.chart.needle.LineNeedle;0;62.9169047619;81.9166666667;14.7172288095;-75.4960714286;66.1746031746;186.706349206;22.364916731;46.0;19.719452381;5.22222222222;1.44761904762;157.5;2.0;0.593650793651;1645;456;315;187;2;1;92;25;165;7;6;0;0;0;8;0;0;0;0;0;0;0;0;0;4;W;No;0
source/org/jfree/data/time/TimePeriodValuesCollection.java;TimePeriodValuesCollection;org.jfree.data.time.TimePeriodValuesCollection;0.0;0.0;1.0;4.0;1.0;4.0;0.0;4.0;23.0;0.0;0.0;1.0;0.0;4.0;0.0;1.0;17.0;0.0;0.0;0.0;1.0;-4.0;390.0;114.0;0.9404761904761905;94.0;0.0;94.0;2.0;18.0;4.0;4.0;24.0;1.0;24.0;24.0;24.0;0.0;0.0;4.0;0.0;0.0;4.0;0.0;24.0;4.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;8.0;32.0;0.0;1.0;0.0;0.0;0.0;0.0;94.0;94.0;1.0;18.0;75.0;24.0;42.0;0.10416666666666667;0.0;org.jfree.data.time.TimePeriodValuesCollection;0;44.9845635322;57.1501673969;13.4362182376;-31.7305336479;48.9707223907;134.86361083;23.3306009093;27.4444444444;17.1496279182;5.01820020222;1.50151668352;109.888888889;9.0;0.30131445905;4963;1485;989;298;9;1;247;124;505;22;7;0;2;0;22;0;1;3;26;26;0;0;0;0;1;W;Yes;2
tests/org/jfree/chart/JFreeChartTest.java;JFreeChartTest;org.jfree.chart.JFreeChartTest;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;16.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;17.0;0.0;0.0;0.0;0.0;-2.0;210.0;90.0;1.0714285714285714;200.0;0.0;200.0;0.0;0.0;2.0;2.0;16.0;1.0;16.0;16.0;16.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;16.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;17.0;0.0;1.0;0.0;0.0;0.0;0.0;200.0;200.0;1.0;0.0;63.0;16.0;16.0;0.0;1.0;org.jfree.chart.JFreeChartTest;0;88.548125;115.360580357;15.015075683;-140.815625;93.2607142857;251.901785714;27.7991935353;62.5;22.2894446429;5.26339285714;1.421875;224.0;2.0;0.535714285714;2358;637;448;240;2;1;125;41;214;10;13;0;0;0;4;0;0;0;0;0;0;0;0;0;45;W;No;0
