File;Class;Entity;ACAIC;ACMIC;AID;ANA;CAM;CBO;CBOin;CBOout;CIS;CLD;CP;DAM;DCAEC;DCC;DCMEC;DIT;DSC;EIC;EIP;FanOut;ICHClass;IR;LCOM1;LCOM2;LCOM5;LOC;MFA;MLOCsum;MOA;McCabe;NAD;NADExtended;NCM;NCP;NMA;NMD;NMDExtended;NMI;NMO;NOA;NOC;NOD;NOF;NOH;NOM;NOP;NOPM;NOParam;NOTC;NOTI;NPrM;PIIR;PP;REIP;RFC;RFC_New;RFP;RPII;RRFP;RRTP;RTP;SIX;TLOC;TestCaseLOC;USELESS;VGsum;WMC;WMC1;WMC_New;cohesionAttributes;connectivity;Entities;NAP;Kincaid;ARI;Coleman-Liau;FleschReadingEase;GunningFogIndex;LIX;SMOGIndex;RIX;DaleChallIndex;characters_per_word;syll_per_word;words_per_sentence;sentences_per_paragraph;type_token_ratio;characters;syllables;words;wordtypes;sentences;paragraphs;long_words;complex_words;complex_words_dc;tobeverb;auxverb;conjunction;pronoun;preposition;nominalization;interrogative;article;subordination;Tot;D;B;M;I;T;W;C;MSATDTag;MSATDNum
src/org/jruby/runtime/CompiledBlock.java;CompiledBlock;org.jruby.runtime.CompiledBlock;0.0;1.0;1.0;1.0;0.9999999999999999;0.0;0.0;0.0;13.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;18.0;0.0;0.0;0.0;0.0;-8.0;506.0;230.0;1.0454545454545454;59.0;0.0;59.0;1.0;756.0;4.0;4.0;24.0;1.0;24.0;24.0;24.0;0.0;0.0;1.0;0.0;0.0;4.0;1.0;24.0;1.0;0.0;7.0;0.0;0.0;9.0;1.0;0.0;0.0;0.0;24.0;0.0;1.0;0.0;0.0;0.0;0.0;59.0;59.0;1.0;756.0;52.0;24.0;780.0;0.0;1.0;org.jruby.runtime.CompiledBlock;0;18.068961039;24.6364718615;9.0894477987;56.9472510823;23.1307359307;70.8138528139;13.0;10.0;12.0269839827;4.33116883117;1.15584415584;51.3333333333;6.0;0.448051948052;1334;356;308;138;6;1;60;20;114;7;4;0;1;0;2;0;0;2;0;0;0;0;0;0;12;W;No;0
src/org/jruby/libraries/NetProtocolBufferedIOLibrary.java;NetProtocolBufferedIOLibrary;org.jruby.libraries.NetProtocolBufferedIOLibrary;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;4.0;0.0;4.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;2.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;4.0;1.0;0.0;2.0;2.0;2.0;0.0;0.0;org.jruby.libraries.NetProtocolBufferedIOLibrary;0;18.9744444444;25.7706666667;8.86931102963;55.205;23.9703703704;73.2592592593;12.7979589711;10.4;12.6309;4.28888888889;1.14444444444;54.0;5.0;0.437037037037;1158;309;270;118;5;1;52;16;108;5;4;0;1;0;1;0;0;2;0;0;0;0;0;0;1;W;No;0
src/org/jruby/compiler/impl/ClassBodyCompiler.java;ClassBodyCompiler;org.jruby.compiler.impl.ClassBodyCompiler;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0;0.0;0.0;-2.0;2.0;0.0;0.0;12.0;0.0;12.0;0.0;0.0;0.0;0.0;3.0;1.0;3.0;3.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;3.0;1.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;12.0;12.0;1.0;0.0;3.0;3.0;3.0;0.0;0.0;org.jruby.compiler.impl.ClassBodyCompiler;0;14.99;13.352;7.90832753333;41.025;14.6666666667;40.0;10.7459666924;3.0;11.9668333333;4.2;1.6;30.0;1.0;0.8;126;48;30;24;1;1;3;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;W;No;0
src/org/jruby/compiler/JITCompiler.java;JITCompiler;org.jruby.compiler.JITCompiler;0.0;0.0;1.0;2.0;1.0;24.0;0.0;24.0;12.0;0.0;0.0;0.9;0.0;24.0;0.0;1.0;22.0;0.0;0.0;0.0;0.0;-1.0;204.0;84.0;0.9857142844370433;74.0;0.0;74.0;1.0;17.0;10.0;10.0;16.0;1.0;16.0;16.0;16.0;0.0;0.0;2.0;0.0;0.0;10.0;0.0;16.0;2.0;0.0;4.0;0.0;1.0;0.0;1.0;0.0;0.0;5.0;22.0;0.0;1.0;0.0;0.0;0.0;0.0;74.0;74.0;1.0;17.0;42.0;16.0;33.0;0.08125;1.0;org.jruby.compiler.JITCompiler;0;21.0969950739;27.7325123153;8.85946712808;47.1117980296;26.7467980296;77.4581280788;15.4211800682;11.2857142857;12.6970684729;4.28078817734;1.1921182266;58.0;7.0;0.475369458128;1738;484;406;193;7;1;79;36;159;9;8;0;1;0;4;0;0;2;0;0;0;0;0;0;13;W;No;0
src/org/jruby/runtime/Arity.java;Arity;org.jruby.runtime.Arity;0.0;1.0;1.0;2.0;1.0000000000000002;1.0;0.0;1.0;24.0;0.0;0.0;0.2727272727272727;0.0;1.0;0.0;1.0;14.0;0.0;0.0;0.0;11.0;-11.0;600.0;275.0;1.0378787877659004;99.0;0.0;99.0;10.0;451.0;11.0;11.0;26.0;1.0;26.0;26.0;26.0;0.0;0.0;2.0;0.0;0.0;11.0;0.0;26.0;2.0;0.0;4.0;0.0;1.0;0.0;1.0;0.0;0.0;7.0;33.0;0.0;1.0;0.0;0.0;0.0;0.0;99.0;99.0;1.0;451.0;55.0;26.0;477.0;0.006993006993006993;1.0;org.jruby.runtime.Arity;0;21.7075263158;29.8861184211;9.82374353289;47.7216842105;27.3463157895;83.8263157895;14.7473401245;14.0;13.4564234211;4.44078947368;1.15131578947;60.8;5.0;0.473684210526;1350;350;304;144;5;1;70;23;131;6;4;0;1;0;1;0;0;2;0;0;0;0;0;0;2;W;No;0
test/org/jruby/test/TestArrayFlatten.java;TestArrayFlatten;org.jruby.test.TestArrayFlatten;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;10.0;0.0;10.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;10.0;10.0;1.0;0.0;2.0;2.0;2.0;0.0;0.0;org.jruby.test.TestArrayFlatten;0;-10.4866666667;-10.51;-13.9035286667;175.59;1.2;3.0;3.0;0.0;19.5753;2.0;0.333333333333;3.0;1.0;1.0;6;1;3;3;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;W;No;0
src/org/jruby/util/ZlibDeflate.java;ZlibDeflate;org.jruby.util.ZlibDeflate;0.0;0.0;1.0;1.0;1.0;8.0;0.0;8.0;11.0;0.0;0.0;0.2727272727272727;0.0;8.0;0.0;1.0;6.0;0.0;0.0;0.0;7.0;-2.0;90.0;24.0;1.0545454531908036;31.0;0.0;31.0;9.0;3.0;11.0;11.0;12.0;1.0;12.0;12.0;12.0;0.0;0.0;1.0;0.0;0.0;11.0;0.0;12.0;1.0;0.0;5.0;0.0;1.0;0.0;1.0;0.0;0.0;9.0;21.0;0.0;1.0;0.0;0.0;0.0;0.0;31.0;31.0;1.0;3.0;35.0;12.0;15.0;0.06060606060606061;1.0;org.jruby.util.ZlibDeflate;0;20.1375438596;27.3147368421;8.95316468421;52.2094736842;25.6070175439;78.0526315789;13.9544511501;12.0;13.2229280702;4.29824561404;1.14385964912;57.0;5.0;0.463157894737;1225;326;285;132;5;1;60;20;122;5;4;0;1;0;1;0;0;2;0;0;0;0;0;0;1;W;No;0
src/org/jruby/RubyException.java;RubyException;org.jruby.RubyException;0.0;0.0;1.0;1.0;1.0;4.0;0.0;4.0;19.0;0.0;0.0;0.29411764705882354;0.0;4.0;0.0;1.0;13.0;0.0;0.0;0.0;3.0;-11.0;380.0;149.0;1.0526315789473684;80.0;0.0;80.0;15.0;1359.0;17.0;17.0;22.0;1.0;22.0;22.0;22.0;0.0;0.0;1.0;0.0;0.0;17.0;1.0;22.0;1.0;0.0;4.0;0.0;1.0;1.0;1.0;0.0;0.0;6.0;29.0;0.0;1.0;0.0;0.0;0.0;0.0;80.0;80.0;1.0;1359.0;36.0;22.0;1381.0;0.0;1.0;org.jruby.RubyException;1;29.6977113402;40.0095618557;12.080602482;20.358628866;35.2668041237;104.146391753;18.6843871414;20.6;15.7060270103;4.80670103093;1.27319587629;77.6;5.0;0.525773195876;1865;494;388;204;5;1;103;41;202;5;4;0;1;0;3;0;0;2;0;0;0;0;0;0;3;W;No;0
src/org/jruby/RubyClass.java;RubyClass;org.jruby.RubyClass;0.0;2.0;1.0;1.0;1.0000000000000004;27.0;0.0;27.0;82.0;0.0;0.0;0.8125;0.0;27.0;0.0;1.0;48.0;0.0;0.0;0.0;18.0;-25.0;7830.0;3459.0;1.0071022727272727;460.0;0.0;460.0;1.0;1142.0;16.0;16.0;94.0;1.0;94.0;94.0;94.0;0.0;0.0;1.0;0.0;0.0;16.0;0.0;94.0;1.0;0.0;8.0;0.0;1.0;9.0;1.0;0.0;0.0;32.0;132.0;0.0;1.0;0.0;0.0;0.0;0.0;460.0;460.0;1.0;1142.0;257.0;94.0;1236.0;0.005984042553191489;1.0;org.jruby.RubyClass;0;49.203736911;63.0207565445;14.8651998021;-45.0841328534;53.4882198953;147.751963351;25.6660539133;33.875;16.1876465969;5.25759162304;1.54554973822;119.375;8.0;0.367539267016;5021;1476;955;351;8;1;271;137;401;22;14;0;1;1;23;0;1;3;0;0;0;0;0;0;26;W;No;0
src/org/jruby/runtime/marshal/MarshalStream.java;MarshalStream;org.jruby.runtime.marshal.MarshalStream;0.0;0.0;1.0;1.0;0.9999999999999994;28.0;0.0;28.0;14.0;0.0;0.0;1.0;0.0;28.0;0.0;1.0;18.0;0.0;0.0;0.0;0.0;-4.0;600.0;275.0;1.0416666666666667;194.0;0.037037037037037035;194.0;6.0;3437.0;8.0;8.0;27.0;1.0;26.0;26.0;26.0;1.0;0.0;1.0;0.0;0.0;8.0;0.0;26.0;1.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;11.0;39.0;0.0;1.0;0.0;0.0;0.0;0.0;194.0;194.0;1.0;3437.0;118.0;26.0;3463.0;0.042735042735042736;1.0;org.jruby.runtime.marshal.MarshalStream;0;27.4866856492;36.4180713743;10.3412028383;28.314341306;32.546848899;95.2623386484;16.416407865;16.1666666667;15.142582612;4.51480637813;1.23234624146;73.1666666667;6.0;0.523917995444;1982;541;439;230;6;1;97;36;219;9;4;0;2;0;3;0;0;2;1;1;0;0;0;0;10;W;Yes;2
