File;Class;Entity;ACAIC;ACMIC;AID;ANA;CAM;CBO;CBOin;CBOout;CIS;CLD;CP;DAM;DCAEC;DCC;DCMEC;DIT;DSC;EIC;EIP;FanOut;ICHClass;IR;LCOM1;LCOM2;LCOM5;LOC;MFA;MLOCsum;MOA;McCabe;NAD;NADExtended;NCM;NCP;NMA;NMD;NMDExtended;NMI;NMO;NOA;NOC;NOD;NOF;NOH;NOM;NOP;NOPM;NOParam;NOTC;NOTI;NPrM;PIIR;PP;REIP;RFC;RFC_New;RFP;RPII;RRFP;RRTP;RTP;SIX;TLOC;TestCaseLOC;USELESS;VGsum;WMC;WMC1;WMC_New;cohesionAttributes;connectivity;Entities;NAP;Kincaid;ARI;Coleman-Liau;FleschReadingEase;GunningFogIndex;LIX;SMOGIndex;RIX;DaleChallIndex;characters_per_word;syll_per_word;words_per_sentence;sentences_per_paragraph;type_token_ratio;characters;syllables;words;wordtypes;sentences;paragraphs;long_words;complex_words;complex_words_dc;tobeverb;auxverb;conjunction;pronoun;preposition;nominalization;interrogative;article;subordination;Tot;D;B;M;I;T;W;C;MSATDTag;MSATDNum
src/main/org/apache/tools/ant/taskdefs/optional/ejb/WeblogicTOPLinkDeploymentTool.java;WeblogicTOPLinkDeploymentTool;org.apache.tools.ant.taskdefs.optional.ejb.WeblogicTOPLinkDeploymentTool;0.0;0.0;1.0;1.0;1.0;2.0;0.0;2.0;4.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;7.0;0.0;0.0;0.0;0.0;-1.0;20.0;5.0;1.25;15.0;0.0;15.0;0.0;3.0;3.0;3.0;6.0;1.0;6.0;6.0;6.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;6.0;1.0;0.0;2.0;0.0;1.0;2.0;1.0;0.0;0.0;2.0;8.0;0.0;1.0;0.0;0.0;0.0;0.0;15.0;15.0;1.0;3.0;12.0;6.0;9.0;0.0;1.0;org.apache.tools.ant.taskdefs.optional.ejb.WeblogicTOPLinkDeploymentTool;0;8.65344827586;12.2831220159;11.0353284103;72.754071618;14.1644562334;48.5145888594;12.3644171037;5.84615384615;10.7867201592;4.78965517241;1.31724137931;22.3076923077;13.0;0.551724137931;1389;382;290;160;13;1;76;38;111;9;5;0;2;0;8;0;0;1;0;0;0;0;0;0;2;W;No;0
src/tests/junit/org/apache/tools/ant/taskdefs/optional/junit/Sleeper.java;Sleeper;org.apache.tools.ant.taskdefs.optional.junit.Sleeper;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;3.0;2.0;2.0;0.0;0.0;org.apache.tools.ant.taskdefs.optional.junit.Sleeper;0;5.94570072993;9.21065693431;11.7392258686;76.8360693431;11.0274452555;47.2766423358;10.5498344353;4.6;10.8855820438;5.05109489051;1.37226277372;13.7;10.0;0.605839416058;692;188;137;83;10;1;46;19;57;2;2;0;1;0;3;0;0;0;0;0;0;0;0;0;6;W;No;0
src/tests/junit/org/apache/tools/ant/taskdefs/optional/AbstractXSLTLiaisonTest.java;AbstractXSLTLiaisonTest;org.apache.tools.ant.taskdefs.optional.AbstractXSLTLiaisonTest;0.0;0.0;1.0;1.0;1.0;8.0;0.0;8.0;3.0;0.0;0.0;1.0;0.0;8.0;0.0;1.0;10.0;0.0;0.0;0.0;0.0;-1.0;20.0;0.0;1.25;29.0;0.0;29.0;2.0;1.0;2.0;2.0;7.0;1.0;7.0;7.0;7.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;7.0;1.0;0.0;1.0;0.0;1.0;5.0;1.0;0.0;0.0;8.0;15.0;0.0;1.0;0.0;0.0;0.0;0.0;29.0;29.0;1.0;1.0;26.0;7.0;8.0;0.0;1.0;org.apache.tools.ant.taskdefs.optional.AbstractXSLTLiaisonTest;0;6.60063474987;9.8296880043;11.7074437278;75.1036309844;11.3525551372;45.5411511565;10.7459666924;4.63636363636;10.658477192;5.00591715976;1.37278106509;15.3636363636;11.0;0.627218934911;846;232;169;106;11;1;51;22;67;6;2;0;1;0;3;0;0;0;0;0;0;0;0;0;5;W;No;0
src/main/org/apache/tools/ant/taskdefs/Length.java;Length;org.apache.tools.ant.taskdefs.Length;0.0;0.0;1.0;2.0;0.9999999999999998;14.0;0.0;14.0;14.0;0.0;0.0;1.0;0.0;14.0;0.0;1.0;21.0;0.0;0.0;0.0;4.0;-1.0;234.0;98.0;1.018181816736857;54.0;0.0;54.0;1.0;14.0;11.0;11.0;17.0;1.0;17.0;17.0;17.0;0.0;0.0;2.0;0.0;0.0;11.0;1.0;17.0;2.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;10.0;27.0;0.0;1.0;0.0;0.0;0.0;0.0;54.0;54.0;1.0;14.0;68.0;17.0;31.0;0.0427807486631016;1.0;org.apache.tools.ant.taskdefs.Length;0;7.25274026764;9.88031021898;10.8692921436;73.5655337591;10.353649635;40.9692822384;9.7082039325;4.08333333333;11.5549024331;4.8296836983;1.3698296837;17.125;24.0;0.440389294404;1985;563;411;181;24;1;98;36;184;6;4;0;1;0;16;0;0;0;0;0;0;0;0;0;2;W;No;0
src/main/org/apache/tools/ant/util/FileUtils.java;FileUtils;org.apache.tools.ant.util.FileUtils;0.0;0.0;1.0;1.0;0.9999999999999996;172.0;0.0;172.0;56.0;0.0;0.0;0.6923076923076923;0.0;172.0;0.0;1.0;38.0;0.0;0.0;0.0;2.0;-6.0;3080.0;1484.0;1.0167832167311148;294.0;0.0;294.0;9.0;55.0;13.0;13.0;57.0;1.0;57.0;57.0;57.0;0.0;0.0;1.0;0.0;0.0;13.0;0.0;57.0;1.0;0.0;9.0;0.0;1.0;1.0;1.0;0.0;0.0;54.0;116.0;0.0;1.0;0.0;0.0;0.0;0.0;294.0;294.0;1.0;55.0;334.0;57.0;112.0;0.001349527665317139;1.0;org.apache.tools.ant.util.FileUtils;0;6.47384382872;7.46586824322;9.52907848869;73.1714915689;10.302978155;32.7159840944;10.0371129083;2.60878243513;11.4338431387;4.67338358945;1.41475790084;13.7684630739;501.0;0.102638445926;32237;9759;6898;708;501;1;1307;827;3108;297;178;0;16;2;197;0;3;1;0;0;0;0;0;0;368;W;No;0
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Sync.java;P4Sync;org.apache.tools.ant.taskdefs.optional.perforce.P4Sync;0.0;0.0;1.0;1.0;1.0;3.0;0.0;3.0;4.0;0.0;0.0;0.5;0.0;3.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;12.0;0.0;12.0;0.0;4.0;2.0;2.0;4.0;1.0;4.0;4.0;4.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;4.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;12.0;12.0;1.0;4.0;10.0;4.0;8.0;0.25;1.0;org.apache.tools.ant.taskdefs.optional.perforce.P4Sync;0;13.8255300646;16.7917931232;22.9234417481;5.00304021969;3.31662757213;51.2352918741;5.21130455646;2.34801762115;14.4702206934;7.57489177489;2.32467532468;5.08810572687;227.0;0.180086580087;8749;2685;1155;208;227;1;533;37;774;10;2;0;1;0;9;0;0;0;0;0;0;0;0;0;203;W;No;0
src/main/org/apache/tools/ant/taskdefs/rmic/DefaultRmicAdapter.java;DefaultRmicAdapter;org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter;0.0;0.0;1.0;2.0;1.0;9.0;0.0;9.0;5.0;0.0;0.0;0.3333333333333333;0.0;9.0;0.0;1.0;16.0;0.0;0.0;0.0;2.0;-5.0;110.0;44.0;1.1;78.0;0.0;78.0;1.0;18.0;9.0;9.0;12.0;1.0;12.0;12.0;12.0;0.0;0.0;2.0;0.0;0.0;9.0;0.0;12.0;2.0;0.0;1.0;0.0;1.0;7.0;1.0;0.0;0.0;5.0;17.0;0.0;1.0;0.0;0.0;0.0;0.0;78.0;78.0;1.0;18.0;31.0;12.0;30.0;0.0;1.0;org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter;0;6.30322580645;8.04355459057;11.0695190403;71.1079156328;10.7047146402;37.4069478908;10.2853910723;3.03846153846;11.7918039702;4.99193548387;1.46129032258;11.9230769231;52.0;0.375806451613;3095;906;620;233;52;1;158;92;297;13;11;0;1;0;15;0;0;0;1;1;0;0;0;0;15;W;MayBe;1
src/main/org/apache/tools/ant/types/resources/ZipResource.java;ZipResource;org.apache.tools.ant.types.resources.ZipResource;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;10.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;10.0;0.0;0.0;0.0;5.0;-5.0;90.0;24.0;1.1111111111111112;46.0;0.0;46.0;0.0;7.0;1.0;1.0;12.0;1.0;12.0;12.0;12.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;12.0;1.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;14.0;0.0;1.0;0.0;0.0;0.0;0.0;46.0;46.0;1.0;7.0;27.0;12.0;19.0;0.0;1.0;org.apache.tools.ant.types.resources.ZipResource;0;8.65930672269;12.1004779412;12.2239724196;68.1827521008;12.5487394958;50.4194677871;11.2959947813;6.05882352941;11.5719484594;5.02083333333;1.40178571429;19.7647058824;17.0;0.455357142857;1687;471;336;153;17;1;103;39;148;6;5;0;1;0;14;0;0;0;0;0;0;0;0;0;1;W;No;0
src/main/org/apache/tools/ant/taskdefs/optional/ejb/DescriptorHandler.java;DescriptorHandler;org.apache.tools.ant.taskdefs.optional.ejb.DescriptorHandler;0.0;0.0;1.0;1.0;1.0;38.0;0.0;38.0;10.0;0.0;0.0;1.0;0.0;38.0;0.0;1.0;15.0;0.0;0.0;0.0;1.0;-2.0;88.0;33.0;1.0808080799049802;87.0;0.0;87.0;9.0;28.0;33.0;33.0;11.0;1.0;11.0;11.0;11.0;0.0;0.0;1.0;0.0;0.0;33.0;0.0;11.0;1.0;0.0;3.0;0.0;1.0;5.0;1.0;0.0;0.0;12.0;23.0;0.0;1.0;0.0;0.0;0.0;0.0;87.0;87.0;1.0;28.0;69.0;11.0;39.0;0.0440771349862259;1.0;org.apache.tools.ant.taskdefs.optional.ejb.DescriptorHandler;0;9.6212865209;11.664775277;15.9704364711;33.7808083912;4.60392935068;40.1037373326;6.05282293806;1.54648526077;13.8666684567;6.56768100735;1.99370409234;4.32199546485;441.0;0.179433368311;12518;3800;1906;342;441;1;682;137;1209;30;9;0;4;1;45;0;1;1;0;0;0;0;0;0;385;W;No;0
src/main/org/apache/tools/ant/taskdefs/optional/depend/Depend.java;Depend;org.apache.tools.ant.taskdefs.optional.depend.Depend;0.0;0.0;1.0;1.0;0.9999999999999999;139.0;0.0;139.0;12.0;0.0;0.0;1.0;0.0;139.0;0.0;1.0;22.0;0.0;0.0;0.0;5.0;-6.0;622.0;271.0;0.9914285692572594;303.0;0.0;303.0;3.0;58.0;14.0;14.0;27.0;1.0;27.0;27.0;27.0;0.0;0.0;1.0;0.0;0.0;14.0;0.0;27.0;1.0;0.0;3.0;0.0;1.0;1.0;1.0;0.0;0.0;35.0;65.0;0.0;1.0;0.0;0.0;0.0;0.0;303.0;303.0;1.0;58.0;223.0;27.0;85.0;0.06878306878306878;1.0;org.apache.tools.ant.taskdefs.optional.depend.Depend;0;7.50925644917;9.53952219758;10.5626354249;71.3211283608;12.070051749;39.5074510719;11.2041265414;3.82051282051;10.11732147;4.78148710167;1.39908952959;16.8974358974;78.0;0.279210925645;6302;1844;1318;368;78;1;298;175;471;54;19;0;2;0;29;0;1;0;0;0;0;0;0;0;10;W;No;0
