File;Class;Entity;ACAIC;ACMIC;AID;ANA;CAM;CBO;CBOin;CBOout;CIS;CLD;CP;DAM;DCAEC;DCC;DCMEC;DIT;DSC;EIC;EIP;FanOut;ICHClass;IR;LCOM1;LCOM2;LCOM5;LOC;MFA;MLOCsum;MOA;McCabe;NAD;NADExtended;NCM;NCP;NMA;NMD;NMDExtended;NMI;NMO;NOA;NOC;NOD;NOF;NOH;NOM;NOP;NOPM;NOParam;NOTC;NOTI;NPrM;PIIR;PP;REIP;RFC;RFC_New;RFP;RPII;RRFP;RRTP;RTP;SIX;TLOC;TestCaseLOC;USELESS;VGsum;WMC;WMC1;WMC_New;cohesionAttributes;connectivity;Entities;NAP;Kincaid;ARI;Coleman-Liau;FleschReadingEase;GunningFogIndex;LIX;SMOGIndex;RIX;DaleChallIndex;characters_per_word;syll_per_word;words_per_sentence;sentences_per_paragraph;type_token_ratio;characters;syllables;words;wordtypes;sentences;paragraphs;long_words;complex_words;complex_words_dc;tobeverb;auxverb;conjunction;pronoun;preposition;nominalization;interrogative;article;subordination;Tot;D;B;M;I;T;W;C;MSATDTag;MSATDNum
src/core/org/apache/jmeter/util/BeanShellClient.java;BeanShellClient;org.apache.jmeter.util.BeanShellClient;0.0;0.0;1.0;1.0;1.0;21.0;0.0;21.0;2.0;0.0;0.0;1.0;0.0;21.0;0.0;1.0;13.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;31.0;0.0;31.0;1.0;1.0;1.0;1.0;3.0;1.0;3.0;3.0;3.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;3.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;11.0;15.0;0.0;1.0;0.0;0.0;0.0;0.0;31.0;31.0;1.0;1.0;29.0;3.0;4.0;0.0;0.0;org.apache.jmeter.util.BeanShellClient;0;2.12875874126;5.63382284382;9.35661146154;91.0268473193;6.75198135198;39.9568764569;7.472135955;2.12121212121;12.7550918415;5.07692307692;1.29326923077;6.30303030303;33.0;0.543269230769;1056;269;208;113;33;1;70;22;116;5;3;0;1;0;3;0;0;0;1;1;0;0;0;0;22;W;Yes;2
test/src/org/apache/jmeter/gui/action/TestLoad.java;TestLoad;org.apache.jmeter.gui.action.TestLoad;0.0;0.0;1.0;1.0;1.0;4.0;0.0;4.0;4.0;0.0;0.0;1.0;0.0;4.0;0.0;1.0;11.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;1.1785714253783226;24.0;0.0;24.0;1.0;1.0;7.0;7.0;7.0;1.0;7.0;7.0;7.0;0.0;0.0;1.0;0.0;0.0;7.0;0.0;7.0;1.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;4.0;11.0;0.0;1.0;0.0;0.0;0.0;0.0;24.0;24.0;1.0;1.0;18.0;7.0;8.0;0.04081632653061224;1.0;org.apache.jmeter.gui.action.TestLoad;0;7.72603603604;11.3287762763;13.0308149257;68.9601051051;11.9831831832;47.5255255255;11.1649658093;5.11111111111;11.1735633634;5.20945945946;1.43243243243;16.4444444444;9.0;0.689189189189;771;212;148;102;9;1;46;20;63;3;3;0;1;0;3;0;0;0;0;0;0;0;0;0;4;W;No;0
src/core/org/apache/jmeter/save/ScriptWrapperConverter.java;ScriptWrapperConverter;org.apache.jmeter.save.ScriptWrapperConverter;0.0;1.0;1.0;2.0;1.0;3.0;0.0;3.0;5.0;0.0;0.0;1.0;0.0;3.0;0.0;1.0;17.0;0.0;0.0;0.0;0.0;-4.0;30.0;9.0;1.2;35.0;0.125;35.0;0.0;3.0;4.0;4.0;8.0;1.0;7.0;7.0;7.0;1.0;0.0;2.0;0.0;0.0;4.0;0.0;7.0;2.0;0.0;3.0;0.0;1.0;1.0;1.0;0.0;0.0;4.0;11.0;0.0;1.0;0.0;0.0;0.0;0.0;35.0;35.0;1.0;3.0;16.0;7.0;10.0;0.0;1.0;org.apache.jmeter.save.ScriptWrapperConverter;0;-14.9542084762;21.2411468015;7.61212193825;204.079892307;0.499709567279;100.179274735;3.26822089039;1.0039692384;19.3645098901;8.95221759373;0.0204198317406;1.01240387001;12093.0;0.00931144327371;109602;250;12243;114;12093;1;12141;29;12156;3;2;0;1;0;5;0;0;0;0;0;0;0;0;0;9243;W;No;0
src/protocol/http/org/apache/jmeter/protocol/http/gui/HeaderPanel.java;HeaderPanel;org.apache.jmeter.protocol.http.gui.HeaderPanel;0.0;0.0;1.0;2.0;1.0;30.0;0.0;30.0;8.0;0.0;0.0;1.0;0.0;30.0;0.0;1.0;36.0;0.0;0.0;0.0;3.0;-4.0;86.0;20.0;0.9666666626930237;112.0;0.0;112.0;3.0;17.0;12.0;12.0;12.0;1.0;12.0;12.0;12.0;0.0;0.0;2.0;0.0;0.0;12.0;0.0;12.0;2.0;0.0;4.0;0.0;1.0;1.0;1.0;0.0;0.0;33.0;47.0;0.0;1.0;0.0;0.0;0.0;0.0;112.0;112.0;1.0;17.0;104.0;12.0;29.0;0.2916666666666667;0.0;org.apache.jmeter.protocol.http.gui.HeaderPanel;0;-14.9247373034;21.170221371;7.56794182315;203.871401063;0.489415087827;99.8194815573;3.25248148683;1.00186518711;19.3282576271;8.93699210655;0.0228653922276;1.01397709834;42355.0;0.00414464339768;383817;982;42947;178;42355;1;42434;90;42543;41;26;0;1;0;6;0;0;0;0;0;0;0;0;0;32375;W;No;0
test/src/org/apache/jmeter/testelement/LineGraphTest.java;LineGraphTest;org.apache.jmeter.testelement.LineGraphTest;0.0;0.0;1.0;1.0;0.0;5.0;0.0;5.0;2.0;0.0;0.0;1.0;0.0;5.0;0.0;1.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.0;0.0;39.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;2.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;5.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;39.0;39.0;1.0;1.0;13.0;2.0;3.0;0.0;0.0;org.apache.jmeter.testelement.LineGraphTest;0;8.29733391608;12.638479021;13.9168748322;67.4121547203;14.7024475524;54.2386363636;13.0623058987;6.5;12.3628902098;5.33566433566;1.43356643357;17.875;8.0;0.657342657343;763;205;143;94;8;1;52;27;71;2;2;0;1;0;3;0;0;0;0;0;0;0;0;0;4;W;No;0
src/core/org/apache/jmeter/control/TransactionSampler.java;TransactionSampler;org.apache.jmeter.control.TransactionSampler;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;9.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;13.0;0.0;0.0;0.0;0.0;-6.0;72.0;17.0;1.1111111110076308;24.0;0.0;24.0;6.0;4.0;9.0;9.0;11.0;1.0;11.0;11.0;11.0;0.0;0.0;1.0;0.0;0.0;9.0;0.0;11.0;1.0;0.0;2.0;0.0;1.0;2.0;1.0;0.0;0.0;1.0;12.0;0.0;1.0;0.0;0.0;0.0;0.0;24.0;24.0;1.0;4.0;15.0;11.0;15.0;0.010101010101010102;1.0;org.apache.jmeter.control.TransactionSampler;0;6.2306937799;8.89474641148;11.6858796246;73.4650837321;10.2344497608;42.4282296651;10.0064904975;3.81818181818;11.5369051037;5.06315789474;1.42105263158;12.9545454545;22.0;0.582456140351;1443;405;285;166;22;1;84;36;131;8;3;0;1;0;12;0;0;0;0;0;0;0;0;0;11;W;No;0
src/protocol/http/org/apache/jmeter/protocol/http/sampler/AccessLogSampler.java;AccessLogSampler;org.apache.jmeter.protocol.http.sampler.AccessLogSampler;0.0;0.0;1.0;3.0;0.9999999999999998;12.0;0.0;12.0;20.0;0.0;0.0;0.9;0.0;12.0;0.0;1.0;12.0;0.0;0.0;0.0;10.0;-14.0;378.0;168.0;1.0315789470547123;79.0;0.0;79.0;6.0;18.0;10.0;10.0;21.0;1.0;21.0;21.0;21.0;0.0;0.0;3.0;0.0;0.0;10.0;0.0;21.0;3.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;10.0;31.0;0.0;1.0;0.0;0.0;0.0;0.0;79.0;79.0;1.0;18.0;48.0;21.0;39.0;0.01904761904761905;1.0;org.apache.jmeter.protocol.http.sampler.AccessLogSampler;0;-10.3005277563;15.4542493713;8.09452559561;171.388311418;1.90638030632;76.5809796675;4.18655274862;1.04532304725;17.2574738169;7.68346820809;0.402312138728;1.39022822244;3111.0;0.0707514450867;33231;1740;4325;306;3111;1;3252;146;3712;32;18;0;16;0;20;0;0;0;5;5;0;0;0;0;2317;W;Yes;2
src/core/org/apache/jmeter/util/HttpSSLProtocolSocketFactory.java;HttpSSLProtocolSocketFactory;org.apache.jmeter.util.HttpSSLProtocolSocketFactory;0.0;0.0;1.0;2.0;0.9999999999999999;9.0;0.0;9.0;11.0;0.0;0.0;1.0;0.0;9.0;0.0;1.0;21.0;0.0;0.0;0.0;9.0;-1.0;156.0;51.0;1.066666666418314;67.0;0.0625;67.0;2.0;6.0;5.0;5.0;16.0;1.0;13.0;15.0;15.0;1.0;2.0;2.0;0.0;0.0;5.0;2.0;15.0;2.0;0.0;5.0;0.0;1.0;0.0;1.0;0.0;0.0;12.0;32.0;0.0;1.0;0.0;0.0;0.0;0.14285714285714285;67.0;67.0;1.0;6.0;67.0;15.0;21.0;0.013333333333333334;1.0;org.apache.jmeter.util.HttpSSLProtocolSocketFactory;0;-13.498358;20.0100775183;8.50685207532;193.810161014;0.864725555071;94.7761163496;3.59186834805;1.03665261109;18.7825975984;8.68083235639;0.140679953107;1.10671423938;3083.0;0.0460140679953;29619;480;3412;157;3083;1;3196;36;3261;3;3;0;1;0;7;0;0;0;0;0;0;0;0;0;2344;W;No;0
src/core/org/apache/jmeter/util/ScriptingBeanInfoSupport.java;ScriptingBeanInfoSupport;org.apache.jmeter.util.ScriptingBeanInfoSupport;0.0;0.0;1.0;1.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;-1.0;1.0;1.0;0.0;0.0;3.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;15.0;1.0;2.0;0.0;0.0;org.apache.jmeter.util.ScriptingBeanInfoSupport;0;-15.1237778791;21.3769148571;7.55524779886;205.281457752;0.425514283714;100.661643146;3.13371244759;1.00100983346;19.4315597745;8.98188710342;0.0063123197363;1.00445320001;60406.0;0.00296662546354;544976;383;60675;180;60406;1;60467;36;60503;11;5;0;2;0;5;0;0;0;0;0;0;0;0;0;46201;W;No;0
src/protocol/http/org/apache/jmeter/protocol/http/control/CacheManager.java;CacheManager;org.apache.jmeter.protocol.http.control.CacheManager;0.0;0.0;1.0;4.0;0.9999999999999999;28.0;0.0;28.0;20.0;0.0;0.0;0.6666666666666666;0.0;28.0;0.0;1.0;25.0;0.0;0.0;0.0;10.0;-12.0;600.0;275.0;1.0370370370025437;114.0;0.0;114.0;5.0;31.0;9.0;9.0;26.0;1.0;26.0;26.0;26.0;0.0;0.0;4.0;0.0;0.0;9.0;0.0;26.0;4.0;0.0;6.0;0.0;1.0;0.0;1.0;0.0;0.0;21.0;48.0;0.0;1.0;0.0;0.0;0.0;0.0;114.0;114.0;1.0;31.0;103.0;26.0;57.0;0.004273504273504274;1.0;org.apache.jmeter.protocol.http.control.CacheManager;0;-14.6484263667;20.8186654904;7.62631908043;201.922421257;0.556116420998;98.5172426778;3.33306909759;1.00600898045;19.2170107782;8.86044279498;0.0456872280522;1.03195985209;15144.0;0.0139493217302;138471;714;15628;218;15144;1;15235;56;15370;19;10;0;1;0;9;0;0;0;2;2;0;4;0;0;11564;W;Yes;2
