File;Class;Entity;ACAIC;ACMIC;AID;ANA;CAM;CBO;CBOin;CBOout;CIS;CLD;CP;DAM;DCAEC;DCC;DCMEC;DIT;DSC;EIC;EIP;FanOut;ICHClass;IR;LCOM1;LCOM2;LCOM5;LOC;MFA;MLOCsum;MOA;McCabe;NAD;NADExtended;NCM;NCP;NMA;NMD;NMDExtended;NMI;NMO;NOA;NOC;NOD;NOF;NOH;NOM;NOP;NOPM;NOParam;NOTC;NOTI;NPrM;PIIR;PP;REIP;RFC;RFC_New;RFP;RPII;RRFP;RRTP;RTP;SIX;TLOC;TestCaseLOC;USELESS;VGsum;WMC;WMC1;WMC_New;cohesionAttributes;connectivity;Entities;NAP;Kincaid;ARI;Coleman-Liau;FleschReadingEase;GunningFogIndex;LIX;SMOGIndex;RIX;DaleChallIndex;characters_per_word;syll_per_word;words_per_sentence;sentences_per_paragraph;type_token_ratio;characters;syllables;words;wordtypes;sentences;paragraphs;long_words;complex_words;complex_words_dc;tobeverb;auxverb;conjunction;pronoun;preposition;nominalization;interrogative;article;subordination;Tot;D;B;M;I;T;W;C;MSATDTag;MSATDNum
plugins/refactoring/src/net/sourceforge/squirrel_sql/plugins/refactoring/prefs/RefactoringPreferencesPanel.java;RefactoringPreferencesPanel;net.sourceforge.squirrel_sql.plugins.refactoring.prefs.RefactoringPreferencesPanel;0.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.5;0.0;0.0;0.0;1.0;17.0;0.0;0.0;0.0;4.0;-2.0;68.0;23.0;1.0416666641831398;41.0;0.0;41.0;4.0;0.0;6.0;6.0;10.0;1.0;10.0;10.0;10.0;0.0;0.0;1.0;0.0;0.0;6.0;0.0;10.0;1.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;9.0;19.0;0.0;1.0;0.0;0.0;0.0;0.0;41.0;41.0;1.0;0.0;37.0;10.0;10.0;0.06666666666666667;1.0;net.sourceforge.squirrel_sql.plugins.refactoring.prefs.RefactoringPreferencesPanel;0;15.9688742929;22.0772883971;29.477748379;-2.56192148867;16.3575374498;62.9161930384;12.4479900576;5.06064516129;15.9561633437;8.23207958572;2.36154265467;9.46838709677;775.0;0.0174434450804;60407;17329;7338;128;775;1;3922;2306;5507;12;12;0;0;0;8;0;0;0;0;0;0;0;0;0;18;W;No;0
plugins/laf/src/net/sourceforge/squirrel_sql/plugins/laf/SkinLookAndFeelController.java;SkinLookAndFeelController;net.sourceforge.squirrel_sql.plugins.laf.SkinLookAndFeelController;0.0;0.0;1.0;1.0;1.0;12.0;0.0;12.0;3.0;0.0;0.0;0.6;0.0;12.0;0.0;1.0;20.0;0.0;0.0;0.0;0.0;-1.0;6.0;0.0;1.3999999985098839;16.0;0.0;16.0;3.0;4.0;5.0;5.0;4.0;1.0;4.0;4.0;4.0;0.0;0.0;1.0;0.0;0.0;5.0;0.0;4.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;8.0;12.0;0.0;1.0;0.0;0.0;0.0;0.0;16.0;16.0;1.0;4.0;27.0;4.0;8.0;0.15;3.0;net.sourceforge.squirrel_sql.plugins.laf.SkinLookAndFeelController;0;8.09295469912;12.0304665314;11.7475884023;73.5004563895;11.4066260987;46.6200135227;10.0293502335;5.35294117647;11.0495135903;4.93103448276;1.33045977011;20.4705882353;34.0;0.225574712644;3432;926;696;157;34;1;182;56;282;19;13;0;2;0;8;0;0;0;0;0;0;0;0;0;5;W;No;0
app/src/net/sourceforge/squirrel_sql/client/session/CancelStatementThread.java;CancelStatementThread;net.sourceforge.squirrel_sql.client.session.CancelStatementThread;0.0;0.0;1.0;1.0;0.0;2.0;0.0;2.0;3.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;-2.0;2.0;0.0;1.8333333283662796;36.0;0.4;36.0;5.0;5.0;6.0;6.0;5.0;1.0;3.0;3.0;3.0;2.0;0.0;1.0;0.0;0.0;6.0;1.0;3.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;4.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;36.0;36.0;1.0;5.0;8.0;3.0;8.0;0.1111111111111111;0.0;net.sourceforge.squirrel_sql.client.session.CancelStatementThread;0;9.76097052846;12.2820426829;17.6373041301;38.7736509146;10.5546747967;45.0858739837;9.56696276828;2.875;12.6188569106;6.34146341463;1.89430894309;7.6875;16.0;0.585365853659;780;233;123;72;16;1;46;23;67;1;0;1;1;1;5;0;0;1;0;0;0;0;0;0;5;W;No;0
fw/src/net/sourceforge/squirrel_sql/fw/dialects/MySQL5DialectExt.java;MySQL5DialectExt;net.sourceforge.squirrel_sql.fw.dialects.MySQL5DialectExt;0.0;0.0;1.0;1.0;1.0;15.0;0.0;15.0;13.0;0.0;0.0;0.0;0.0;15.0;0.0;1.0;10.0;0.0;0.0;0.0;0.0;-8.0;132.0;54.0;0.0;33.0;0.0;33.0;0.0;2.0;0.0;0.0;13.0;1.0;13.0;13.0;13.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;13.0;1.0;0.0;5.0;0.0;1.0;0.0;1.0;0.0;0.0;6.0;20.0;0.0;1.0;0.0;0.0;0.0;0.0;33.0;33.0;1.0;2.0;32.0;13.0;15.0;0.0;1.0;net.sourceforge.squirrel_sql.fw.dialects.MySQL5DialectExt;0;10.7660761905;16.7592857143;17.1175871;56.0418;14.3847619048;56.8952380952;12.6658456137;7.6;12.6785704762;5.83333333333;1.52533333333;21.4285714286;35.0;0.177333333333;4375;1144;750;133;35;1;266;109;379;12;12;0;0;0;17;0;0;0;0;0;0;0;0;0;1;W;No;0
test/src/net/sourceforge/squirrel_sql/plugins/codecompletion/prefs/PrefixesTableModelTest.java;PrefixesTableModelTest;net.sourceforge.squirrel_sql.plugins.codecompletion.prefs.PrefixesTableModelTest;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;-1.0;2.0;0.0;0.0;4.0;0.0;4.0;0.0;0.0;0.0;0.0;3.0;1.0;3.0;3.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;4.0;1.0;0.0;5.0;3.0;3.0;0.0;0.0;net.sourceforge.squirrel_sql.plugins.codecompletion.prefs.PrefixesTableModelTest;0;21.8719093851;29.8805674218;12.0195934019;40.1707551241;26.4617044229;85.9600862999;15.3827837473;16.4444444444;12.8520426106;4.81941747573;1.28349514563;57.2222222222;9.0;0.190291262136;2482;661;515;98;9;1;148;46;208;12;12;0;0;0;9;0;0;0;0;0;0;0;0;0;1;W;No;0
plugins/h2/src/net/sourceforge/squirrel_sql/plugins/h2/tab/SequenceDetailsTab.java;SequenceDetailsTab;net.sourceforge.squirrel_sql.plugins.h2.tab.SequenceDetailsTab;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;10.0;2.0;1.0;3.0;3.0;2.0;1.0;2.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;3.0;1.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;10.0;10.0;1.0;1.0;4.0;2.0;3.0;0.0;0.0;net.sourceforge.squirrel_sql.plugins.h2.tab.SequenceDetailsTab;0;9.67311714286;14.2001062857;13.4206877712;65.46803;12.1285714286;54.4814285714;10.3192505471;7.17857142857;11.8428268571;5.1952;1.4032;22.3214285714;28.0;0.1872;3247;877;625;117;28;1;201;50;281;13;15;0;1;0;17;0;0;0;0;0;0;0;0;0;14;W;No;0
app/src/net/sourceforge/squirrel_sql/client/session/mainpanel/objecttree/ObjectTreeNode.java;ObjectTreeNode;net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.ObjectTreeNode;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;10.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;8.0;0.0;0.0;0.0;0.0;-7.0;90.0;35.0;1.1111111111111112;16.0;0.0;16.0;6.0;4.0;6.0;6.0;11.0;1.0;11.0;11.0;11.0;0.0;0.0;1.0;0.0;0.0;6.0;1.0;11.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;12.0;0.0;1.0;0.0;0.0;0.0;0.0;16.0;16.0;1.0;4.0;17.0;11.0;15.0;0.0;1.0;net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.ObjectTreeNode;0;10.1965985037;14.6703449709;11.4726184701;69.5729858687;13.78560266;52.6684954281;10.874007874;6.93333333333;11.9321242062;4.82668329177;1.30174563591;26.7333333333;30.0;0.19825436409;3871;1044;802;159;30;1;208;62;354;19;19;0;0;0;14;0;0;0;0;0;0;0;0;0;2;W;No;0
plugins/mysql/src/net/sourceforge/squirrel_sql/plugins/mysql/tab/ShowVariablesTab.java;ShowVariablesTab;net.sourceforge.squirrel_sql.plugins.mysql.tab.ShowVariablesTab;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;2.0;1.0;2.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;2.0;2.0;2.0;0.0;0.0;net.sourceforge.squirrel_sql.plugins.mysql.tab.ShowVariablesTab;0;14.6821642562;20.5357871901;12.2036954744;57.1468827479;19.2902892562;66.5728305785;13.8685325596;10.875;12.3238842975;4.8958677686;1.31570247934;37.8125;16.0;0.190082644628;2962;796;605;115;16;1;174;63;261;13;17;0;1;0;8;0;0;0;0;0;0;0;0;0;2;W;No;0
fw/src/net/sourceforge/squirrel_sql/fw/gui/BasePopupMenu.java;BasePopupMenu;net.sourceforge.squirrel_sql.fw.gui.BasePopupMenu;0.0;0.0;1.0;1.0;1.0;2.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;6.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;2.0;0.3333333333333333;2.0;0.0;0.0;0.0;0.0;3.0;1.0;2.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;4.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;7.0;2.0;2.0;0.0;0.0;net.sourceforge.squirrel_sql.fw.gui.BasePopupMenu;0;15.150696711;21.2908310319;11.4340903515;58.828897188;19.5611850364;67.1806427316;13.035650737;10.7857142857;12.4234929199;4.75571177504;1.2618629174;40.6428571429;14.0;0.228471001757;2706;718;569;130;14;1;151;47;244;12;12;0;0;0;10;0;0;0;1;1;0;0;0;0;1;D;Yes;2
plugins/dataimport/src/net/sourceforge/squirrel_sql/plugins/dataimport/gui/DataImportGlobalPreferencesTab.java;DataImportGlobalPreferencesTab;net.sourceforge.squirrel_sql.plugins.dataimport.gui.DataImportGlobalPreferencesTab;0.0;0.0;1.0;2.0;1.0;2.0;0.0;2.0;7.0;0.0;0.0;0.6666666666666666;0.0;2.0;0.0;1.0;7.0;0.0;0.0;0.0;0.0;-6.0;30.0;9.0;1.2;5.0;0.0;5.0;1.0;1.0;3.0;3.0;7.0;1.0;7.0;7.0;7.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;7.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;9.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;5.0;1.0;1.0;11.0;7.0;8.0;0.047619047619047616;1.0;net.sourceforge.squirrel_sql.plugins.dataimport.gui.DataImportGlobalPreferencesTab;0;17.6223780815;24.9250562519;32.5999241801;-12.1075062013;16.5904950767;69.5479829231;12.9589789108;6.32793345009;16.3762682639;8.69906861349;2.45881970147;10.7648861646;2284.0;0.00479928417456;213884;60455;24587;118;2284;1;14453;7551;19006;13;12;0;0;0;760;0;0;0;0;0;0;0;0;0;49;W;No;0
fw/src/net/sourceforge/squirrel_sql/fw/datasetviewer/PopupEditableIOPanel.java;PopupEditableIOPanel;net.sourceforge.squirrel_sql.fw.datasetviewer.PopupEditableIOPanel;0.0;0.0;1.0;2.0;0.9999999999999999;105.0;0.0;105.0;6.0;0.0;0.0;1.0;0.0;105.0;0.0;1.0;46.0;0.0;0.0;0.0;1.0;0.0;52.0;7.0;1.0208333325572312;227.0;0.0;227.0;7.0;43.0;18.0;18.0;10.0;1.0;10.0;10.0;10.0;0.0;0.0;2.0;0.0;0.0;18.0;0.0;10.0;2.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;49.0;61.0;0.0;1.0;0.0;0.0;0.0;0.0;227.0;227.0;1.0;43.0;233.0;10.0;53.0;0.3111111111111111;0.0;net.sourceforge.squirrel_sql.fw.datasetviewer.PopupEditableIOPanel;0;6.00896281707;6.65140182005;10.0723369557;69.6964844678;8.79903343979;32.3225666733;8.99663205138;2.22558922559;10.4158942968;4.90622884225;1.50169262018;9.94612794613;297.0;0.231888964116;14493;4436;2954;685;297;1;661;356;1176;106;54;1;2;3;31;1;3;1;2;0;2;0;0;0;107;W;Yes;2
fw/src/net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/DTProperties.java;DTProperties;net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent.DTProperties;0.0;0.0;1.0;1.0;0.9999999999999999;30.0;0.0;30.0;5.0;0.0;0.0;1.0;0.0;30.0;0.0;1.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;39.0;0.0;39.0;0.0;3.0;2.0;2.0;5.0;1.0;5.0;5.0;5.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;5.0;1.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;12.0;20.0;0.0;1.0;0.0;0.0;0.0;0.0;39.0;39.0;1.0;3.0;40.0;5.0;8.0;0.7;0.0;net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent.DTProperties;0;15.4890497796;20.27701063;10.9472070835;54.1130898367;19.2637282862;63.5858179933;13.1945363518;9.53571428571;11.2626977703;4.67695099819;1.33303085299;39.3571428571;28.0;0.265880217786;5154;1469;1102;293;28;1;267;97;396;40;21;0;1;0;19;0;0;0;0;0;0;0;0;0;8;W;No;0
app/src/net/sourceforge/squirrel_sql/client/session/mainpanel/objecttree/tabs/table/ContentsTab.java;ContentsTab;net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.tabs.table.ContentsTab;0.0;0.0;1.0;2.0;0.9999999999999999;19.0;0.0;19.0;21.0;0.0;0.0;0.875;0.0;19.0;0.0;1.0;17.0;0.0;0.0;0.0;3.0;-21.0;600.0;275.0;1.0416666666666667;123.0;0.0;123.0;7.0;24.0;8.0;8.0;26.0;1.0;26.0;26.0;26.0;0.0;0.0;2.0;0.0;0.0;8.0;0.0;26.0;2.0;0.0;5.0;0.0;1.0;2.0;1.0;0.0;0.0;10.0;36.0;0.0;1.0;0.0;0.0;0.0;0.0;123.0;123.0;1.0;24.0;57.0;26.0;50.0;0.0;1.0;net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.tabs.table.ContentsTab;0;5.4549341999;7.18476102051;9.62208052161;78.7435283788;8.81267560149;34.7019080682;8.95437196139;2.80303030303;9.9925755046;4.71699230314;1.36056838366;12.7954545455;132.0;0.281231497928;7967;2298;1689;475;132;1;370;156;612;64;27;0;3;0;26;1;1;1;0;0;0;0;0;0;7;W;No;0
